x_range mlu lu90 lu50 ahc competitive_ratio 
0 0.0142282135785 0.0140506401658 0.00873866677284 2.0 4.99999952325 
1 0.0671258121729 0.063777603209 0.0506841056049 2.0 4.99999959352 
2 0.0700076296926 0.0663539469242 0.05292949453 2.0 4.99999964302 
3 0.0717545300722 0.0679725036025 0.0543853864074 2.0 4.99999966285 
4 0.0729740262032 0.0691776499152 0.0553943216801 2.0 4.99999967736 
5 0.0740992277861 0.0702702105045 0.0562039464712 2.0 4.99999969021 
6 0.074992403388 0.071160428226 0.0569504797459 2.0 4.99999970158 
7 0.075807094574 0.071968883276 0.0575890131295 2.0 4.99999971486 
8 0.076562717557 0.0726754367352 0.058146238327 2.0 4.9999997295 
9 0.0772441029549 0.0732986927032 0.0586720257998 2.0 4.99999974575 
10 0.0778703168035 0.0738521069288 0.0591345056891 2.0 4.99999976221 
11 0.0784350633621 0.074395544827 0.0595884807408 2.0 4.99999977096 
12 0.0789759457111 0.0749189853668 0.0600552000105 2.0 4.99999977857 
13 0.079506509006 0.0754216238856 0.0604522414505 2.0 4.99999978528 
14 0.080020904541 0.0758721604943 0.0608247481287 2.0 4.9999997912 
15 0.0805006101727 0.076318345964 0.0611934140325 2.0 4.99999979656 
16 0.080937333405 0.0767387971282 0.0615576542914 2.0 4.99999980177 
17 0.0813580527902 0.077121309936 0.0619065612555 2.0 4.99999980707 
18 0.0818063467741 0.0775331184268 0.0622118934989 2.0 4.99999981213 
19 0.0822288542986 0.0779144763947 0.0625395476818 2.0 4.99999981721 
20 0.0826575234532 0.0782975703478 0.0628628283739 2.0 4.99999982288 
21 0.0830562412739 0.0786677896976 0.0631649568677 2.0 4.99999983221 
22 0.0834430158138 0.0790203437209 0.0634660795331 2.0 4.99999984531 
23 0.0838513299823 0.0793926119804 0.0637375488877 2.0 4.99999986902 
24 0.0842222943902 0.0797502696514 0.0640264302492 2.0 4.9999998801 
25 0.0846098959446 0.0800757333636 0.0642948001623 2.0 4.99999988456 
26 0.0849973037839 0.0804352015257 0.0645819753408 2.0 4.99999988781 
27 0.0853459984064 0.0807538926601 0.064851090312 2.0 4.9999998908 
28 0.0857200548053 0.081098690629 0.0651234686375 2.0 4.99999989357 
29 0.0860695168376 0.081431441009 0.0653874650598 2.0 4.9999998959 
30 0.086450189352 0.0817416831851 0.0656393840909 2.0 4.9999998982 
31 0.086813762784 0.0820778906345 0.0659014433622 2.0 4.99999990048 
32 0.0871727988124 0.082413226366 0.0661648288369 2.0 4.99999990278 
33 0.0875334367156 0.0827148258686 0.0664167180657 2.0 4.999999905 
34 0.0878774896264 0.083029307425 0.0666738897562 2.0 4.99999990723 
35 0.088236771524 0.0833373889327 0.066927947104 2.0 4.99999991001 
36 0.08859693259 0.0836521610618 0.0671865344048 2.0 4.99999991292 
37 0.0889076292515 0.0839677602053 0.0674351453781 2.0 4.99999991661 
38 0.0892599746585 0.084275521338 0.0676864236593 2.0 4.99999992172 
39 0.0895933359861 0.0845984518528 0.0679448544979 2.0 4.99999993085 
40 0.0899312272668 0.0848919972777 0.0682113617659 2.0 4.99999993808 
41 0.0902889296412 0.0852275490761 0.0684604272246 2.0 5.0 
42 0.0906350910664 0.0855326429009 0.068711809814 2.0 5.0 
