x_range with_sensitivity without_sensitivity 
0 0.09113 0.09327 
1 0.08987 0.08886 
2 0.11066 0.11428 
3 0.10155 0.10258 
4 0.10021 0.10221 
5 0.10557 0.11414 
6 0.11478 0.12552 
7 0.10009 0.10302 
8 0.09298 0.08776 
9 0.10523 0.09797 
10 0.10522 0.11360 
11 0.09199 0.08342 
12 0.10536 0.09330 
13 0.10457 0.10370 
14 0.11097 0.10978 
15 0.10406 0.09720 
16 0.11123 0.12338 
17 0.10096 0.10198 
18 0.09699 0.09315 
19 0.11107 0.10656 
20 0.11908 0.11576 
21 0.10474 0.10106 
22 0.10563 0.09542 
23 0.10098 0.09905 
24 0.12137 0.11313 
25 0.11279 0.10523 
26 0.11516 0.11136 
27 0.10544 0.10800 
28 0.12513 0.14272 
29 0.10784 0.09592 
30 0.11612 0.11872 
31 0.10202 0.09115 
32 0.11441 0.10851 
33 0.11218 0.10044 
34 0.09805 0.09221 
35 0.11572 0.12063 
36 0.12163 0.12370 
37 0.11125 0.10570 
38 0.10173 0.10763 
39 0.10710 0.10025 
40 0.09706 0.08810 
41 0.10212 0.09811 
42 0.10910 0.10188 
43 0.10715 0.11200 
44 0.10497 0.11106 
45 0.11124 0.12188 
46 0.10234 0.10304 
47 0.11399 0.11748 
48 0.11580 0.11774 
49 0.10279 0.09366 
50 0.11959 0.13873 
51 0.11273 0.11532 
52 0.12037 0.11924 
53 0.12219 0.12048 
54 0.11612 0.10244 
55 0.12196 0.12461 
56 0.11552 0.11317 
57 0.09875 0.09115 
58 0.11389 0.11729 
59 0.10552 0.10285 
60 0.10666 0.10383 
61 0.11002 0.10595 
62 0.09839 0.09520 
63 0.11866 0.12359 
64 0.11285 0.11137 
65 0.11614 0.13050 
66 0.11610 0.11497 
67 0.11210 0.10383 
68 0.11466 0.11734 
69 0.10704 0.09954 
70 0.10550 0.10730 
71 0.12285 0.12112 
72 0.10449 0.10954 
73 0.10639 0.10176 
74 0.11165 0.10756 
75 0.12150 0.11486 
76 0.10589 0.11213 
77 0.10304 0.09707 
78 0.11325 0.10981 
79 0.11888 0.11587 
80 0.11344 0.10198 
81 0.12939 0.13235 
82 0.11512 0.12219 
83 0.10862 0.10208 
84 0.11731 0.11335 
85 0.11685 0.12558 
86 0.11922 0.10864 
87 0.10029 0.10031 
88 0.11771 0.12166 
89 0.11113 0.11307 
90 0.11924 0.13139 
91 0.11315 0.10962 
92 0.11383 0.10828 
93 0.11848 0.11847 
94 0.11627 0.12108 
95 0.11542 0.11170 
96 0.10856 0.10766 
97 0.11433 0.11088 
98 0.11464 0.11266 
99 0.11521 0.10870 
100 0.10071 0.09751 
101 0.10616 0.10674 
102 0.10233 0.10540 
103 0.12358 0.12031 
104 0.11328 0.10696 
105 0.12263 0.11986 
106 0.10845 0.11934 
107 0.11712 0.12111 
108 0.10956 0.11264 
109 0.11341 0.11317 
110 0.10496 0.09600 
111 0.11940 0.11461 
112 0.11421 0.12206 
113 0.12146 0.11562 
114 0.11756 0.10451 
115 0.12282 0.13026 
116 0.11915 0.11699 
117 0.11170 0.10666 
118 0.10796 0.10905 
119 0.12745 0.13151 
120 0.10740 0.10948 
121 0.11969 0.11382 
122 0.10935 0.10815 
123 0.10557 0.09667 
124 0.10652 0.09836 
125 0.11535 0.10093 
126 0.13063 0.14067 
127 0.09543 0.08772 
128 0.10750 0.09949 
129 0.10781 0.09840 
130 0.11028 0.10498 
131 0.11143 0.11770 
132 0.09279 0.09147 
133 0.11138 0.12043 
134 0.10027 0.09906 
135 0.11074 0.11570 
136 0.11432 0.10494 
137 0.09999 0.10083 
138 0.10301 0.10122 
139 0.10654 0.10396 
140 0.11955 0.11811 
141 0.10276 0.10092 
142 0.10841 0.10396 
143 0.10911 0.10492 
144 0.10375 0.10350 
145 0.10889 0.10180 
146 0.12341 0.11972 
147 0.11445 0.10488 
148 0.11535 0.10792 
149 0.10912 0.10630 
150 0.10345 0.10179 
151 0.11872 0.11217 
152 0.11856 0.11174 
153 0.11110 0.10459 
154 0.10173 0.10418 
155 0.10630 0.10410 
156 0.11882 0.11450 
157 0.12610 0.11497 
158 0.11431 0.10947 
159 0.10641 0.09396 
160 0.10647 0.09881 
161 0.10485 0.10464 
162 0.12263 0.12248 
163 0.11530 0.12286 
164 0.10178 0.09850 
165 0.10086 0.09643 
166 0.10579 0.09991 
167 0.10577 0.11121 
168 0.11736 0.11980 
169 0.10643 0.09777 
170 0.12718 0.12631 
171 0.13229 0.15896 
172 0.11449 0.11893 
173 0.11576 0.12144 
174 0.11104 0.10417 
175 0.10024 0.09214 
176 0.10907 0.10862 
177 0.10868 0.10334 
178 0.10071 0.09568 
179 0.10236 0.09504 
180 0.09886 0.09099 
181 0.10902 0.10579 
182 0.10887 0.11894 
183 0.10513 0.09530 
184 0.11307 0.10612 
185 0.11802 0.11162 
186 0.11428 0.11139 
187 0.09850 0.09433 
188 0.10735 0.10644 
189 0.09752 0.09221 
190 0.10474 0.09745 
191 0.10300 0.11580 
192 0.10326 0.10502 
193 0.11744 0.11392 
194 0.10204 0.09832 
195 0.09436 0.08490 
196 0.09891 0.10192 
197 0.10906 0.12102 
198 0.10932 0.10333 
199 0.09760 0.09543 
200 0.09997 0.09843 
