x_range mlu_optimized_sorted mlu_unoptimized_sorted mlu_optimized_unsorted mlu_unoptimized_unsorted 
0 0.7599 0.7345 0.8904 0.8904 
1 0.7768 0.7599 0.8902 0.8840 
2 0.7898 0.7768 0.9665 0.9665 
3 0.7922 0.7898 0.9665 0.9665 
4 0.7930 0.7922 0.9665 0.9665 
5 0.8080 0.7930 0.9665 0.9665 
6 0.8087 0.7932 0.9484 0.9484 
7 0.8118 0.7991 0.9475 0.9475 
8 0.8137 0.8137 0.8818 0.8818 
9 0.8139 0.8139 0.8745 0.8745 
10 0.8172 0.8172 0.8354 0.8354 
11 0.8212 0.8179 0.8329 0.8329 
12 0.8228 0.8201 0.9380 0.9380 
13 0.8260 0.8329 0.9367 0.9367 
14 0.8329 0.8354 0.8672 0.8678 
15 0.8354 0.8365 0.8642 0.8642 
16 0.8365 0.8414 0.7768 0.7768 
17 0.8414 0.8482 0.7898 0.7898 
18 0.8429 0.8492 0.7599 0.7599 
19 0.8433 0.8507 0.9307 0.9307 
20 0.8482 0.8513 0.9274 0.9274 
21 0.8484 0.8564 0.9665 0.9665 
22 0.8507 0.8593 0.9665 0.9665 
23 0.8513 0.8642 0.9665 0.9665 
24 0.8564 0.8678 0.9665 0.9665 
25 0.8632 0.8688 0.9347 0.9357 
26 0.8641 0.8690 0.9343 0.9347 
27 0.8642 0.8693 0.9547 0.9547 
28 0.8672 0.8704 0.9541 0.9541 
29 0.8678 0.8727 0.7930 0.7930 
30 0.8688 0.8734 0.7922 0.7922 
31 0.8704 0.8745 0.9622 0.9622 
32 0.8734 0.8757 0.9549 0.9549 
33 0.8745 0.8818 0.9665 0.9665 
34 0.8775 0.8825 0.9665 0.9665 
35 0.8818 0.8828 0.8912 0.8912 
36 0.8828 0.8840 0.8908 0.8908 
37 0.8840 0.8840 0.8840 0.8840 
38 0.8876 0.8904 0.8828 0.8828 
39 0.8884 0.8908 0.9659 0.9659 
40 0.8902 0.8912 0.9656 0.9656 
41 0.8904 0.8912 0.9532 0.9532 
42 0.8908 0.8923 0.9527 0.9527 
43 0.8912 0.8944 0.9130 0.9130 
44 0.8912 0.8948 0.9127 0.9127 
45 0.8923 0.8955 0.9264 0.9264 
46 0.8925 0.8968 0.9177 0.9177 
47 0.8940 0.9086 0.9270 0.9270 
48 0.8955 0.9091 0.9267 0.9267 
49 0.9020 0.9109 0.9426 0.9426 
50 0.9079 0.9113 0.9405 0.9405 
51 0.9091 0.9127 0.9665 0.9665 
52 0.9109 0.9130 0.9665 0.9665 
53 0.9113 0.9172 0.9665 0.9665 
54 0.9127 0.9177 0.9665 0.9665 
55 0.9130 0.9193 0.9665 0.9665 
56 0.9137 0.9216 0.9665 0.9665 
57 0.9161 0.9236 0.8688 0.8704 
58 0.9173 0.9264 0.8678 0.8688 
59 0.9177 0.9267 0.9113 0.9113 
60 0.9198 0.9270 0.9109 0.9109 
61 0.9264 0.9270 0.8564 0.8564 
62 0.9267 0.9274 0.8513 0.8513 
63 0.9270 0.9276 0.9450 0.9450 
64 0.9274 0.9296 0.9439 0.9439 
65 0.9298 0.9307 0.9500 0.9500 
66 0.9307 0.9347 0.9490 0.9490 
67 0.9313 0.9357 0.9665 0.9665 
68 0.9343 0.9367 0.9660 0.9660 
69 0.9347 0.9374 0.8923 0.8923 
70 0.9353 0.9380 0.8912 0.8912 
71 0.9367 0.9396 0.8139 0.8139 
72 0.9378 0.9401 0.8137 0.8137 
73 0.9380 0.9405 0.8507 0.8507 
74 0.9405 0.9426 0.8482 0.8482 
75 0.9418 0.9439 0.9091 0.9091 
76 0.9426 0.9449 0.8955 0.8955 
77 0.9439 0.9450 0.8414 0.8414 
78 0.9450 0.9475 0.8365 0.8365 
79 0.9464 0.9484 0.8734 0.8734 
80 0.9475 0.9490 0.8704 0.8727 
81 0.9484 0.9500 0.9353 0.9401 
82 0.9490 0.9527 0.9313 0.9396 
83 0.9496 0.9532 1.0641 1.0997 
84 0.9500 0.9533 1.0575 1.0776 
85 0.9527 0.9535 1.3443 1.4766 
86 0.9532 0.9541 1.2630 1.2860 
87 0.9541 0.9547 1.0044 1.0328 
88 0.9547 0.9549 1.0022 1.0308 
89 0.9549 0.9560 0.9173 0.9276 
90 0.9572 0.9561 0.9161 0.9270 
91 0.9582 0.9580 0.8429 0.8593 
92 0.9622 0.9594 0.8260 0.8492 
93 0.9623 0.9598 0.9968 0.9950 
94 0.9656 0.9620 0.9914 0.9910 
95 0.9659 0.9622 0.8925 0.9086 
96 0.9660 0.9656 0.8884 0.8968 
97 0.9665 0.9656 0.8087 0.7932 
98 0.9665 0.9658 0.8080 0.7345 
99 0.9665 0.9659 0.9843 0.9773 
100 0.9665 0.9660 0.9831 0.9768 
101 0.9665 0.9665 1.1070 1.1735 
102 0.9665 0.9665 1.1063 1.1543 
103 0.9665 0.9665 1.0673 1.1019 
104 0.9665 0.9665 1.0670 1.1006 
105 0.9665 0.9665 0.9905 0.9894 
106 0.9665 0.9665 0.9851 0.9789 
107 0.9665 0.9665 1.0260 1.0602 
108 0.9665 0.9665 1.0260 1.0596 
109 0.9665 0.9665 0.8172 0.8172 
110 0.9665 0.9665 0.8118 0.7991 
111 0.9665 0.9665 1.0275 1.0690 
112 0.9665 0.9665 1.0273 1.0685 
113 0.9665 0.9665 1.0806 1.1124 
114 0.9690 0.9665 1.0697 1.1054 
115 0.9705 0.9665 0.9418 0.9533 
116 0.9707 0.9665 0.9378 0.9449 
117 0.9707 0.9665 0.9298 0.9374 
118 0.9725 0.9734 0.9198 0.9296 
119 0.9738 0.9753 1.0387 1.0697 
120 0.9793 0.9758 1.0308 1.0694 
121 0.9831 0.9768 1.0123 1.0473 
122 0.9843 0.9773 1.0119 1.0469 
123 0.9851 0.9789 0.9707 0.9656 
124 0.9905 0.9894 0.9705 0.9620 
125 0.9914 0.9910 0.9725 0.9734 
126 0.9968 0.9950 0.9707 0.9658 
127 0.9973 0.9956 0.9793 0.9758 
128 0.9975 1.0030 0.9738 0.9753 
129 0.9988 1.0233 0.9975 1.0030 
130 1.0003 1.0234 0.9973 0.9956 
131 1.0022 1.0308 1.1054 1.1317 
132 1.0044 1.0328 1.1014 1.1313 
133 1.0054 1.0334 1.0921 1.1180 
134 1.0098 1.0421 1.0885 1.1141 
135 1.0119 1.0469 1.2342 1.2384 
136 1.0123 1.0473 1.1655 1.1795 
137 1.0260 1.0596 0.9020 0.9193 
138 1.0260 1.0602 0.8940 0.9172 
139 1.0273 1.0685 0.9690 0.9598 
140 1.0275 1.0690 0.9623 0.9594 
141 1.0308 1.0694 0.8876 0.8948 
142 1.0387 1.0697 0.8775 0.8944 
143 1.0419 1.0750 1.0003 1.0234 
144 1.0530 1.0754 0.9988 1.0233 
145 1.0575 1.0776 1.0098 1.0421 
146 1.0641 1.0997 1.0054 1.0334 
147 1.0670 1.1006 1.0530 1.0754 
148 1.0673 1.1019 1.0419 1.0750 
149 1.0697 1.1054 0.9496 0.9560 
150 1.0806 1.1124 0.9464 0.9535 
151 1.0885 1.1141 0.8228 0.8201 
152 1.0921 1.1180 0.8212 0.8179 
153 1.1014 1.1313 0.8641 0.8825 
154 1.1054 1.1317 0.8632 0.8757 
155 1.1063 1.1543 0.9582 0.9580 
156 1.1070 1.1735 0.9572 0.9561 
157 1.1655 1.1795 0.8484 0.8693 
158 1.2342 1.2384 0.8433 0.8690 
159 1.2630 1.2860 0.9137 0.9236 
160 1.3443 1.4766 0.9079 0.9216 
