x_range single_mlu_sorted many_mlu_sorted single_mlu_unsorted many_mlu_unsorted single_mlu_ideal_sorted many_mlu_ideal_sorted single_mlu_ideal_unsorted many_mlu_ideal_unsorted many_mlu_point_sorted many_mlu_point_unsorted 
0 0.7599 0.7555 0.8904 0.9053 0.5382 0.5382 0.6052 0.6064 0.8316 0.9528 
1 0.7768 0.7587 0.8902 0.9043 0.5526 0.5580 0.6030 0.6059 0.8537 0.9519 
2 0.7898 0.7839 0.9665 0.9793 0.5594 0.5591 0.6498 0.6498 0.8633 1.1206 
3 0.7922 0.7910 0.9665 0.9775 0.5595 0.5594 0.6497 0.6497 0.8675 1.1016 
4 0.7930 0.8116 0.9665 0.9993 0.5613 0.5595 0.7583 0.7583 0.8766 1.3278 
5 0.8137 0.8209 0.9665 0.9993 0.5685 0.5703 0.7159 0.7159 0.8829 1.2815 
6 0.8139 0.8293 0.9484 0.9600 0.5703 0.5709 0.6305 0.6305 0.8858 1.0350 
7 0.8329 0.8488 0.9475 0.9597 0.5711 0.5726 0.6305 0.6266 0.8887 1.0337 
8 0.8354 0.8551 0.8818 0.8975 0.5736 0.5732 0.5993 0.6030 0.8962 0.9436 
9 0.8365 0.8567 0.8745 0.8890 0.5751 0.5736 0.5990 0.6020 0.8986 0.9426 
10 0.8414 0.8584 0.8354 0.8551 0.5775 0.5747 0.5736 0.5732 0.9010 0.8962 
11 0.8482 0.8701 0.8329 0.8488 0.5784 0.5775 0.5711 0.5726 0.9060 0.8887 
12 0.8507 0.8723 0.9380 0.9510 0.5810 0.5784 0.6229 0.6229 0.9063 1.0066 
13 0.8513 0.8748 0.9367 0.9508 0.5827 0.5827 0.6225 0.6227 0.9075 0.9987 
14 0.8564 0.8749 0.8672 0.8772 0.5887 0.5887 0.5915 0.5915 0.9095 0.9160 
15 0.8642 0.8763 0.8642 0.8763 0.5915 0.5915 0.5915 0.5915 0.9147 0.9147 
16 0.8672 0.8772 0.7768 0.7587 0.5915 0.5915 0.5526 0.5580 0.9160 0.8537 
17 0.8678 0.8790 0.7898 0.7839 0.5931 0.5931 0.5594 0.5591 0.9175 0.8633 
18 0.8688 0.8832 0.7599 0.7555 0.5957 0.5957 0.5382 0.5382 0.9266 0.8316 
19 0.8704 0.8850 0.9307 0.9490 0.5961 0.5961 0.6152 0.6189 0.9277 0.9954 
20 0.8734 0.8886 0.9274 0.9479 0.5972 0.5990 0.6152 0.6177 0.9310 0.9946 
21 0.8745 0.8890 0.9665 0.9993 0.5990 0.6020 0.6990 0.6990 0.9426 1.1960 
22 0.8818 0.8975 0.9665 0.9993 0.5993 0.6030 0.6918 0.6918 0.9436 1.1788 
23 0.8828 0.8994 0.9665 0.9842 0.6015 0.6041 0.6773 0.6773 0.9440 1.1318 
24 0.8840 0.8999 0.9665 0.9840 0.6020 0.6052 0.6545 0.6610 0.9487 1.1287 
25 0.8902 0.9043 0.9347 0.9496 0.6030 0.6059 0.6189 0.6225 0.9519 0.9971 
26 0.8904 0.9053 0.9343 0.9494 0.6052 0.6064 0.6166 0.6208 0.9528 0.9967 
27 0.8908 0.9070 0.9547 0.9686 0.6059 0.6073 0.6377 0.6364 0.9551 1.0632 
28 0.8912 0.9098 0.9541 0.9671 0.6070 0.6074 0.6364 0.6363 0.9598 1.0524 
29 0.8912 0.9147 0.7930 0.8116 0.6073 0.6085 0.5613 0.5595 0.9646 0.8766 
30 0.8923 0.9149 0.7922 0.7910 0.6074 0.6101 0.5595 0.5594 0.9648 0.8675 
31 0.8955 0.9169 0.9622 0.9703 0.6082 0.6101 0.6389 0.6386 0.9650 1.0654 
32 0.9091 0.9170 0.9549 0.9699 0.6089 0.6102 0.6386 0.6377 0.9699 1.0644 
33 0.9109 0.9206 0.9665 0.9893 0.6101 0.6103 0.6839 0.6843 0.9749 1.1323 
34 0.9113 0.9230 0.9665 0.9876 0.6106 0.6115 0.6805 0.6839 0.9792 1.1320 
35 0.9127 0.9340 0.8912 0.9098 0.6117 0.6117 0.6070 0.6074 0.9806 0.9598 
36 0.9130 0.9351 0.8908 0.9070 0.6117 0.6125 0.6059 0.6073 0.9813 0.9551 
37 0.9177 0.9378 0.8840 0.8999 0.6125 0.6140 0.6020 0.6052 0.9815 0.9487 
38 0.9264 0.9386 0.8828 0.8994 0.6134 0.6145 0.6015 0.6041 0.9877 0.9440 
39 0.9267 0.9443 0.9659 0.9733 0.6145 0.6154 0.6430 0.6389 0.9886 1.0844 
40 0.9270 0.9445 0.9656 0.9718 0.6147 0.6163 0.6409 0.6388 0.9943 1.0738 
41 0.9274 0.9479 0.9532 0.9668 0.6152 0.6177 0.6363 0.6353 0.9946 1.0506 
42 0.9307 0.9490 0.9527 0.9643 0.6152 0.6189 0.6353 0.6337 0.9954 1.0416 
43 0.9343 0.9494 0.9130 0.9351 0.6166 0.6208 0.6117 0.6125 0.9967 0.9813 
44 0.9347 0.9496 0.9127 0.9340 0.6189 0.6225 0.6117 0.6117 0.9971 0.9806 
45 0.9367 0.9508 0.9264 0.9386 0.6225 0.6227 0.6134 0.6145 0.9987 0.9877 
46 0.9380 0.9510 0.9177 0.9378 0.6229 0.6229 0.6125 0.6140 1.0066 0.9815 
47 0.9405 0.9523 0.9270 0.9445 0.6237 0.6231 0.6147 0.6163 1.0095 0.9943 
48 0.9426 0.9528 0.9267 0.9443 0.6250 0.6237 0.6145 0.6154 1.0157 0.9886 
49 0.9439 0.9578 0.9426 0.9528 0.6266 0.6250 0.6250 0.6237 1.0279 1.0157 
50 0.9450 0.9596 0.9405 0.9523 0.6266 0.6266 0.6237 0.6231 1.0315 1.0095 
51 0.9475 0.9597 0.9665 0.9993 0.6305 0.6266 0.6899 0.6874 1.0337 1.1780 
52 0.9484 0.9600 0.9665 0.9981 0.6305 0.6305 0.6873 0.6873 1.0350 1.1670 
53 0.9490 0.9612 0.9665 0.9951 0.6309 0.6309 0.6866 0.6871 1.0361 1.1490 
54 0.9500 0.9616 0.9665 0.9903 0.6350 0.6312 0.6843 0.6866 1.0367 1.1460 
55 0.9527 0.9643 0.9665 0.9993 0.6353 0.6337 0.7114 0.7114 1.0416 1.2463 
56 0.9532 0.9668 0.9665 0.9993 0.6363 0.6353 0.7020 0.7020 1.0506 1.2424 
57 0.9541 0.9671 0.8688 0.8832 0.6364 0.6363 0.5957 0.5957 1.0524 0.9266 
58 0.9547 0.9686 0.8678 0.8790 0.6377 0.6364 0.5931 0.5931 1.0632 0.9175 
59 0.9549 0.9699 0.9113 0.9230 0.6386 0.6377 0.6106 0.6115 1.0644 0.9792 
60 0.9622 0.9703 0.9109 0.9206 0.6389 0.6386 0.6101 0.6103 1.0654 0.9749 
61 0.9656 0.9718 0.8564 0.8749 0.6409 0.6388 0.5887 0.5887 1.0738 0.9095 
62 0.9659 0.9733 0.8513 0.8748 0.6430 0.6389 0.5827 0.5827 1.0844 0.9075 
63 0.9660 0.9746 0.9450 0.9596 0.6443 0.6399 0.6266 0.6266 1.0921 1.0315 
