nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7 fab8 fab9 fab10 fab11 
1 0.3954612457451977 0.3596469701718288 0.42378048490535275 0.4249883238572944 0.32300963275002637 0.3778166420494361 0.4101555781318795 0.45614579237947117 0.3470077149759346 0.3571171086817978 0.31540649422281597 0.3545616149671086 
2 0.41470771491881625 0.38551531111049786 0.43588873158547736 0.455038479731454 0.33275491752263214 0.39849064767195885 0.43522186754943143 0.45985280540699175 0.36581511007753253 0.407322236118429 0.3397878168695451 0.36919437888896195 
3 0.42654406693065744 0.39583489696793816 0.44006230151018855 0.4611621113519423 0.33632231518570144 0.41814963392258464 0.44083113929272794 0.46294609198626296 0.3806238519940538 0.426412139772283 0.350056028610115 0.3769936507142815 
4 0.4358776006333741 0.3991361584469677 0.4423932811317009 0.4698152713432912 0.34823803298983896 0.4193214368278815 0.4465692320420691 0.4716840487437793 0.38419728106278656 0.4383599948564352 0.3539406022568289 0.38014376277136896 
5 0.4406230995794246 0.40282595516905506 0.446620329184056 0.47968539975260727 0.350665975137084 0.4237685748852208 0.44868653211071463 0.47243036364312563 0.3897680245656818 0.4380282323620304 0.3570972339727674 0.38372444817428614 
6 0.44240695962010657 0.4053032265067909 0.4469586334489767 0.48315759472857595 0.3547496873557314 0.4269779357841987 0.4501642838659448 0.4738600041601947 0.3951982581051267 0.44613313458648224 0.3598079765171228 0.3850574076058581 
7 0.44414222767352446 0.39877480903723206 0.44915550247853553 0.48851151166456186 0.35461777350564344 0.42565886493177485 0.4504232451005949 0.4751915798247716 0.398225470591198 0.4562451493736619 0.3609714847200247 0.38665184118744517 
8 0.444336089573169 0.3997020034848239 0.446449945115604 0.4911344835258898 0.3581541775919652 0.4262222893223139 0.45339541499230257 0.4785346682385927 0.40562364397735495 0.4551202550310046 0.3622752144526542 0.3851031099346144 
9 0.4459216846129044 0.4014960737347975 0.4490190292719179 0.4939498593087558 0.36274484226260423 0.42526990127047143 0.45556734826854395 0.4800927566022882 0.40835159150420414 0.4548492507008378 0.36361430908293346 0.38627746993028916 
10 0.44697754786939725 0.4040290981301899 0.4498367394755244 0.4943055289133162 0.36359046175481047 0.42616916725757753 0.45702027977593407 0.48318987599204605 0.4097388136867379 0.45859839563962446 0.3639612732886193 0.38728104226081417 
