nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7 fab8 fab9 fab10 fab11 
1 0.4510998140761294 0.302364212918313 0.4245935644157279 0.49170563086792535 0.3007246244647837 0.40207215114342576 0.494482213125365 0.48969811461001694 0.34206221497247896 0.4590408026731338 0.25665609169974174 0.438819945250703 
2 0.45881596611323044 0.3217506676015839 0.4396292244660797 0.4973409597504772 0.32250676402292866 0.4254222651798423 0.49409889139523894 0.4911342679796581 0.3713301075783881 0.4670956614846629 0.28748181653090343 0.4464516298416815 
3 0.4666371248522996 0.3211498199805417 0.4504510026090046 0.5048102202783806 0.3341133459153484 0.43502515101833766 0.5048464107129975 0.500303947392611 0.40206431504256573 0.46957024890495536 0.30130925785509927 0.4537961233834319 
4 0.46872338997102236 0.3187795434848967 0.4556800315193241 0.5050893617677956 0.34518905719416026 0.44397364021109975 0.510395384969881 0.5017854863919337 0.4091141202938088 0.47635933389430224 0.30509329046683736 0.45721149101957936 
5 0.47075715018967734 0.3164878436876511 0.459942602613693 0.5167776093451448 0.34808417393289154 0.4515319426549399 0.5150349974614187 0.49963276917136923 0.41687015463578375 0.4760202503194456 0.31073716833605064 0.4585934399163679 
6 0.4717688123307985 0.3179345583798416 0.4581236421786308 0.5196634594068839 0.3521046619840802 0.4531477330991843 0.5177816058864446 0.5030138578605131 0.41942086208566653 0.4812928911015863 0.30511385731251883 0.4612334415504117 
7 0.47568102312308247 0.3164269084822794 0.4610969789207913 0.523240418781468 0.3561340718892027 0.4574916164814935 0.5189186290563599 0.5027101692225593 0.4216668806258442 0.4843184257357085 0.3106758910320927 0.46188933312341013 
8 0.46960585412521905 0.31927041612979895 0.46486008889869546 0.5279083850968155 0.35645432064638016 0.4614259240492463 0.5219053002535218 0.5072430480613855 0.4247056363227742 0.4868529648450496 0.31317964717151436 0.46378639282708906 
9 0.4738927863020761 0.31851283841163724 0.46537123885523773 0.5293106830750562 0.3595035504810651 0.4641071084632836 0.5238110363462574 0.5061588769870906 0.4309425735570006 0.4903029500488906 0.31593844078179245 0.46422908747207375 
10 0.4759001625338442 0.3196200157412002 0.4716221206326045 0.5304014390536756 0.3612258315682048 0.4666200148441805 0.5256051315624507 0.5083268247202996 0.43172686761103707 0.4916657735606155 0.3178241044180782 0.46438510443551095 
