nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7
1 5.909781515984516 4.786264562721811 5.751910024029179 6.3132846102793945 5.4765857192269 6.4765302419092645 3.6133552133200375 6.590709691317722 
2 6.053655448661482 5.027295950852629 6.023655184924834 6.345929215612886 5.797491240346268 6.589790143253651 3.9494018290544246 6.700321413086016 
3 6.141432402308181 5.06483146662149 6.142534659119605 6.480133317837546 6.107484072285589 6.613639109702108 4.11920784356877 6.784273322605264 
4 6.1806937109896545 5.049727346278626 6.245161614093011 6.534706508244273 6.1986749837238975 6.680291099399627 4.17800487647106 6.826073781360715 
5 6.177019130932573 5.0523864000614775 6.324340715553673 6.590842803437581 6.183818184968679 6.710135258584414 4.251350714528857 6.860057113647784 
6 6.175393110720722 5.058323291331641 6.390727284976779 6.6168286010728234 6.3307256297450945 6.791133382993121 4.217145099511404 6.889798060445976 
7 6.17703212530535 5.06510199338597 6.41081436021593 6.647842862261717 6.356545307642509 6.82990265189718 4.266419639984465 6.914068697398355 
8 6.1812103236842345 5.097979040469706 6.448002948952335 6.670436069513533 6.424301315578035 6.8792205142318625 4.313113020078908 6.9349951891588635 
9 6.209815771619269 5.109923234060396 6.484532875448168 6.697830408652814 6.471712071187547 6.910694535730221 4.3571951547178625 6.949428652353349 
10 6.219467114570343 5.115770119946535 6.520237025846399 6.715657667872867 6.481294900628354 6.902551159682784 4.39176213791771 6.9595335669608565 
