x_axis t_biweekly_r_monthly_k1_mlu t_biweekly_r_monthly_k1_alu t_biweekly_r_monthly_k1_stretch t_biweekly_r_monthly_nte_mlu t_biweekly_r_monthly_nte_alu t_biweekly_r_monthly_nte_stretch t_biweekly_r_monthly_k4_mlu t_biweekly_r_monthly_k4_alu t_biweekly_r_monthly_k4_stretch t_biweekly_r_monthly_ite_mlu t_biweekly_r_monthly_ite_alu t_biweekly_r_monthly_ite_stretch 
0 0.335311 0.303464 5.070875 0.337813 0.304817 5.621381 0.332181 0.303034 5.064023 0.330686357679 0.302752 5.012936 
1 0.385782 0.322667 5.116082 0.387437 0.343876 6.005072 0.381214 0.321554 5.12606 0.369106640551 0.310943 5.03912 
2 0.394095 0.324069 5.127338 0.394849 0.348407 6.082289 0.388961 0.32296 5.137451 0.382804639081 0.311908 5.042828 
3 0.399031 0.324937 5.135012 0.399665 0.352103 6.130376 0.393152 0.323872 5.145794 0.387115757798 0.312606 5.04539 
4 0.402617 0.325624 5.140841 0.403393 0.354967 6.16631 0.396224 0.324634 5.152466 0.394030720321 0.313232 5.047304 
5 0.405602 0.326254 5.14526 0.406541 0.357345 6.193016 0.399026 0.325223 5.158088 0.389687984659 0.313789 5.049017 
6 0.407581 0.326846 5.148584 0.409485 0.359349 6.214172 0.401055 0.325764 5.163383 0.399214690343 0.314202 5.050493 
7 0.4094 0.327378 5.151542 0.412388 0.360992 6.233108 0.402854 0.326281 5.168183 0.389556433223 0.314543 5.051888 
8 0.41087 0.327872 5.154278 0.41529 0.362494 6.249269 0.404505 0.32675 5.173265 0.39277061554 0.314875 5.053187 
9 0.412163 0.328391 5.156876 0.417985 0.363748 6.264797 0.405884 0.327205 5.17793 0.391829074364 0.315187 5.054534 
10 0.413323 0.328911 5.159441 0.420319 0.364854 6.279824 0.407054 0.327723 5.182574 0.399627151869 0.31549 5.055734 
11 0.414454 0.329404 5.161901 0.422608 0.3659 6.292487 0.40819 0.328147 5.186687 0.397325651261 0.315775 5.056883 
12 0.415456 0.329901 5.164226 0.424407 0.36687 6.304565 0.409313 0.328618 5.190857 0.403356415835 0.316058 5.057867 
13 0.416508 0.330392 5.166548 0.426142 0.367713 6.316415 0.410385 0.329075 5.195036 0.405875059462 0.316352 5.058824 
14 0.417478 0.330897 5.168687 0.427841 0.368572 6.326978 0.411404 0.329512 5.199035 0.398859454733 0.31664 5.059802 
15 0.418466 0.331472 5.170844 0.429354 0.369348 6.3368 0.412354 0.329971 5.20295 0.411798927605 0.316933 5.06075 
16 0.41951 0.332038 5.173115 0.430826 0.370104 6.345911 0.413352 0.330417 5.206631 0.40040318508 0.317176 5.061674 
17 0.420459 0.332582 5.1752 0.43231 0.37087 6.355295 0.414371 0.330851 5.21039 0.409322290779 0.317412 5.062604 
18 0.421445 0.333167 5.177321 0.433687 0.371645 6.36395 0.41549 0.331311 5.214191 0.403368199439 0.317656 5.063549 
19 0.422402 0.333708 5.179559 0.434992 0.372437 6.373463 0.416477 0.331783 5.217998 0.411817035314 0.317902 5.06438 
20 0.42328 0.334284 5.181608 0.436263 0.373194 6.38207 0.417361 0.332247 5.221754 0.412179808064 0.318139 5.065223 
21 0.424177 0.334843 5.183708 0.437612 0.374042 6.390392 0.418313 0.332743 5.225147 0.408870092611 0.318349 5.066036 
22 0.425035 0.335397 5.18597 0.438907 0.374883 6.39875 0.41927 0.333217 5.228978 0.405653022661 0.31859 5.066885 
23 0.425977 0.335955 5.188283 0.44009 0.375742 6.406655 0.420202 0.333735 5.232596 0.413873428679 0.318812 5.067746 
24 0.426945 0.336499 5.190404 0.441354 0.376636 6.414944 0.421136 0.334221 5.235944 0.414676633934 0.319045 5.068547 
25 0.427821 0.336993 5.192306 0.4426 0.377474 6.424025 0.422171 0.334726 5.239571 0.407681046174 0.319262 5.069378 
26 0.42873 0.337508 5.194373 0.443923 0.378329 6.433049 0.423255 0.335257 5.242853 0.415862336681 0.319483 5.070188 
27 0.429621 0.338021 5.196671 0.445176 0.379088 6.440684 0.424226 0.33574 5.246354 0.410413475079 0.319713 5.071049 
28 0.430587 0.338535 5.198948 0.446452 0.379949 6.449279 0.425228 0.336247 5.249834 0.420706415665 0.319953 5.071787 
29 0.431542 0.339066 5.20112 0.44767 0.380751 6.457661 0.426207 0.336778 5.25314 0.424809850695 0.320179 5.072591 
30 0.432487 0.339582 5.203556 0.448937 0.381607 6.465893 0.42717 0.337289 5.25635 0.412291785722 0.320426 5.073434 
31 0.433492 0.340109 5.205845 0.450163 0.38244 6.47465 0.428158 0.337826 5.259857 0.425294708623 0.3207 5.074178 
32 0.434501 0.340563 5.208254 0.451472 0.383274 6.483134 0.429096 0.338376 5.263076 0.423948198432 0.320952 5.074988 
33 0.435496 0.341125 5.210576 0.452698 0.38405 6.491738 0.430179 0.338874 5.26646 0.422851580053 0.321224 5.075696 
34 0.436561 0.341713 5.212841 0.454007 0.384818 6.500141 0.431237 0.339391 5.269634 0.421449979168 0.321503 5.076458 
35 0.437679 0.342273 5.215529 0.455356 0.385625 6.508925 0.432322 0.339962 5.273177 0.427180670506 0.321807 5.077217 
36 0.438836 0.342837 5.218016 0.456811 0.386459 6.517277 0.433486 0.340478 5.276321 0.422533120529 0.322136 5.077946 
37 0.440094 0.343443 5.220608 0.458299 0.387327 6.526328 0.434659 0.341006 5.27933 0.423558038217 0.322459 5.078696 
38 0.441225 0.344076 5.223284 0.459692 0.388258 6.534785 0.435926 0.341568 5.282396 0.424742303847 0.322824 5.079455 
39 0.442487 0.344759 5.2262 0.461325 0.389189 6.543071 0.43721 0.342072 5.285483 0.423848222416 0.323227 5.080247 
40 0.443983 0.345503 5.228735 0.463083 0.390145 6.551663 0.438673 0.342619 5.288666 0.432195835557 0.323698 5.081072 
41 0.445503 0.346259 5.231486 0.464723 0.391244 6.559088 0.440226 0.343167 5.291933 0.433139241874 0.324204 5.081939 
42 0.447196 0.347062 5.234258 0.466517 0.392331 6.567041 0.441883 0.343722 5.295119 0.441295977232 0.324762 5.082719 
43 0.449105 0.347975 5.237045 0.468719 0.39364 6.574523 0.443543 0.344258 5.298341 0.440392369497 0.325436 5.083442 
44 0.451289 0.348909 5.240108 0.471166 0.394943 6.58184 0.445516 0.344835 5.301437 0.444423647488 0.326113 5.084282 
45 0.453797 0.349887 5.243273 0.47363 0.396312 6.589082 0.447717 0.34542 5.304461 0.43662525326 0.326899 5.08505 
46 0.456849 0.350985 5.246402 0.476631 0.398051 6.596456 0.45047 0.34602 5.307533 0.444436301295 0.327708 5.085848 
47 0.461164 0.352129 5.24981 0.479926 0.39985 6.603779 0.453317 0.346682 5.310425 0.444604378351 0.328575 5.086631 
48 0.466435 0.353353 5.253368 0.483768 0.401782 6.610706 0.45681 0.347314 5.313311 0.443853910323 0.32943 5.087384 
49 0.473209 0.354857 5.257115 0.488785 0.403833 6.617717 0.461056 0.348059 5.316539 0.453104358656 0.330164 5.08817 
50 0.479231 0.35622 5.260979 0.494657 0.405713 6.624554 0.46573 0.348742 5.319668 0.452568237083 0.3309 5.089022 
51 0.484553 0.357593 5.264732 0.500286 0.407435 6.631301 0.470075 0.349482 5.322734 0.456436649622 0.331517 5.089799 
52 0.489112 0.358946 5.268917 0.505179 0.408975 6.637739 0.473679 0.350222 5.325872 0.464345557273 0.332106 5.090627 
53 0.492753 0.36027 5.27312 0.50922 0.410392 6.644501 0.476972 0.35102 5.329178 0.473588536542 0.332655 5.091431 
54 0.495888 0.361582 5.277623 0.51296 0.411744 6.650774 0.479726 0.351837 5.332274 0.471294088449 0.333143 5.092301 
55 0.499145 0.362856 5.282252 0.516108 0.412998 6.657539 0.48274 0.352594 5.335631 0.47192634758 0.333643 5.093225 
56 0.501788 0.364146 5.286914 0.518883 0.414195 6.663995 0.485188 0.35346 5.339117 0.475629754683 0.334135 5.094092 
57 0.504466 0.365378 5.29151 0.521791 0.415402 6.669767 0.487482 0.354295 5.342543 0.478802417334 0.334595 5.09498 
58 0.507218 0.366558 5.296379 0.524426 0.416612 6.676055 0.489751 0.355095 5.34605 0.47759096555 0.335064 5.09582 
59 0.509483 0.367665 5.301074 0.526983 0.417684 6.682226 0.49192 0.356047 5.349422 0.483629458445 0.3355 5.096708 
60 0.511933 0.368897 5.306486 0.529599 0.418831 6.688316 0.493915 0.356946 5.352941 0.48890131071 0.336035 5.097617 
61 0.514232 0.370085 5.311064 0.532137 0.419896 6.694241 0.495958 0.357759 5.356532 0.481518503425 0.336505 5.09849 
62 0.516541 0.37126 5.315954 0.534587 0.420982 6.700067 0.497784 0.358585 5.360591 0.484068978283 0.337001 5.099375 
