x_axis t_biweekly_r_monthly_k1_mlu t_biweekly_r_monthly_k1_alu t_biweekly_r_monthly_k1_stretch t_biweekly_r_monthly_nte_mlu t_biweekly_r_monthly_nte_alu t_biweekly_r_monthly_nte_stretch t_biweekly_r_monthly_k4_mlu t_biweekly_r_monthly_k4_alu t_biweekly_r_monthly_k4_stretch t_biweekly_r_monthly_ite_mlu t_biweekly_r_monthly_ite_alu t_biweekly_r_monthly_ite_stretch 
0 0.185311 0.153464 1.023625 0.187813 0.154817 1.207127 0.182181 0.153034 1.021341 0.179256560994 0.152752 1.004312 
5 0.255602 0.176254 1.04842 0.256541 0.207345 1.397672 0.249026 0.175223 1.052696 0.243926652056 0.163789 1.016339 
10 0.263323 0.178911 1.053147 0.270319 0.214854 1.426608 0.257054 0.177723 1.060858 0.251389169432 0.16549 1.018578 
15 0.268466 0.181472 1.056948 0.279354 0.219348 1.4456 0.262354 0.179971 1.06765 0.248200103878 0.166933 1.02025 
20 0.27328 0.184284 1.060536 0.286263 0.223194 1.46069 0.267361 0.182247 1.073918 0.266650885361 0.168139 1.021741 
25 0.277821 0.186993 1.064102 0.2926 0.227474 1.474675 0.272171 0.184726 1.079857 0.259260247454 0.169262 1.023126 
30 0.282487 0.189582 1.067852 0.298937 0.231607 1.488631 0.27717 0.187289 1.08545 0.269189691902 0.170426 1.024478 
35 0.287679 0.192273 1.071843 0.305356 0.235625 1.502975 0.282322 0.189962 1.091059 0.269985677231 0.171807 1.025739 
40 0.293983 0.195503 1.076245 0.313083 0.240145 1.517221 0.288673 0.192619 1.096222 0.276147638601 0.173698 1.027024 
45 0.303797 0.199887 1.081091 0.32363 0.246312 1.529694 0.297717 0.19542 1.101487 0.284298457655 0.176899 1.02835 
50 0.329231 0.20622 1.086993 0.344657 0.255713 1.541518 0.31573 0.198742 1.106556 0.301348366438 0.1809 1.029674 
55 0.349145 0.212856 1.094084 0.366108 0.262998 1.552513 0.33274 0.202594 1.111877 0.319170324397 0.183643 1.031075 
60 0.361933 0.218897 1.102162 0.379599 0.268831 1.562772 0.343915 0.206946 1.117647 0.330642528688 0.186035 1.032539 
65 0.373023 0.224416 1.109897 0.392232 0.274172 1.572514 0.353488 0.211185 1.124493 0.349227161458 0.188623 1.034055 
70 0.383471 0.228904 1.117494 0.404088 0.27965 1.581637 0.362682 0.215675 1.132162 0.358088603668 0.191912 1.035738 
75 0.393294 0.233074 1.125146 0.416435 0.285252 1.589763 0.371388 0.22072 1.142947 0.367261586081 0.195441 1.037658 
80 0.402476 0.237077 1.134299 0.428618 0.291531 1.597626 0.379857 0.226292 1.157474 0.376247825345 0.199094 1.039889 
85 0.412242 0.241408 1.148631 0.440515 0.299145 1.605239 0.388417 0.231946 1.177687 0.377419926972 0.202709 1.042554 
90 0.424017 0.246666 1.216832 0.453884 0.308583 1.613226 0.398207 0.238184 1.21144 0.383658223538 0.206438 1.046185 
95 0.44256 0.254707 1.256061 0.471177 0.319081 1.622567 0.411213 0.246043 1.234803 0.399250059679 0.212483 1.051958 
100 0.927032 0.337785 1.359944 1.090695 0.595149 1.671277 0.629907 0.370417 1.324428 0.620318726807 0.269169 1.11331 
