x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
0 0.275882 0.228135 0.524286 0.526553 0.579276 0.600172 5.429013 5.470476 0.275882 0.230397 0.524286 0.534526 0.579276 0.595614 5.430837 5.487783 
1 0.277067 0.229365 0.530416 0.531782 0.587716 0.608874 5.438439 5.47665 0.277067 0.231974 0.530416 0.544591 0.587716 0.601021 5.438439 5.505495 
2 0.277834 0.229913 0.532972 0.533869 0.59216 0.620313 5.441202 5.481438 0.277844 0.232979 0.532972 0.547176 0.59216 0.610576 5.441175 5.518335 
3 0.278523 0.230877 0.53642 0.534681 0.592971 0.621346 5.444739 5.487186 0.278616 0.234071 0.536328 0.549668 0.592971 0.612384 5.444754 5.534334 
4 0.279174 0.231479 0.538417 0.535627 0.598399 0.626264 5.445918 5.492598 0.279225 0.234758 0.538453 0.550877 0.598399 0.614594 5.446323 5.541456 
5 0.27948 0.231812 0.540375 0.536895 0.599645 0.626722 5.447694 5.494386 0.279567 0.235122 0.540402 0.55197 0.599537 0.618915 5.447694 5.54661 
6 0.279773 0.232149 0.54182 0.537641 0.600805 0.631243 5.448879 5.497842 0.27981 0.235609 0.541896 0.553501 0.60063 0.619315 5.448996 5.550117 
7 0.280137 0.232639 0.54317 0.538551 0.602405 0.639374 5.450211 5.501001 0.280145 0.235953 0.543227 0.554181 0.60259 0.620548 5.450235 5.552835 
8 0.28037 0.232887 0.544605 0.539536 0.603479 0.639642 5.45148 5.504733 0.28043 0.236286 0.544739 0.555821 0.603595 0.622149 5.45148 5.55792 
9 0.280673 0.233156 0.54628 0.540042 0.604562 0.640461 5.452344 5.506323 0.280673 0.236504 0.54628 0.557381 0.604562 0.623955 5.452344 5.561925 
10 0.280995 0.233333 0.547072 0.540836 0.605106 0.645497 5.453949 5.509005 0.280995 0.236792 0.547042 0.558946 0.605075 0.624964 5.453568 5.564802 
11 0.281191 0.233483 0.548254 0.541846 0.606024 0.647261 5.455302 5.511144 0.281201 0.236937 0.548209 0.559937 0.605887 0.62586 5.454921 5.566293 
12 0.281335 0.233716 0.549632 0.542552 0.606878 0.651502 5.456661 5.512995 0.281351 0.237112 0.54963 0.561654 0.606821 0.628046 5.456541 5.56773 
13 0.28144 0.233891 0.550596 0.543139 0.607911 0.652857 5.457489 5.51481 0.281446 0.237383 0.550508 0.563127 0.607911 0.62924 5.457489 5.569434 
14 0.281569 0.234027 0.551222 0.543453 0.608635 0.654578 5.458452 5.515869 0.281569 0.237568 0.551209 0.564891 0.608635 0.630548 5.458494 5.571015 
15 0.28171 0.234129 0.552159 0.544071 0.60957 0.657506 5.459361 5.518056 0.28171 0.237746 0.552159 0.566339 0.609812 0.631842 5.459433 5.57256 
16 0.281865 0.234297 0.552993 0.544591 0.610962 0.659722 5.460144 5.519775 0.281858 0.238048 0.553026 0.567924 0.610984 0.632645 5.460279 5.573514 
