x_axis mlu_k4 mlu_k1 mlu_static
5.0 0.469381 0.630597 1.085526
5.03 0.39299 0.520982 0.925873
5.06 0.325908 0.473444 0.855586
5.09 0.287861 0.401297 0.802072
5.12 0.268651 0.338163 0.766598
5.15 0.258205 0.286825 0.735068
5.18 0.249204 0.261948 0.71017
5.21 0.245787 0.25805 0.690051
5.24 0.245787 0.25805 0.671275
5.27 0.245787 0.25805 0.654778
5.3 0.245787 0.25805 0.638745
5.33 0.245787 0.25805 0.623164
5.36 0.245787 0.25805 0.60856
5.39 0.245787 0.25805 0.594884
5.42 0.245787 0.25805 0.581481
5.45 0.245787 0.25805 0.568311
5.48 0.245787 0.25805 0.555564
5.51 0.245787 0.25805 0.543287
5.54 0.245787 0.25805 0.531564
5.57 0.245787 0.25805 0.520402
5.6 0.245787 0.25805 0.509388
5.63 0.245787 0.25805 0.498476
5.66 0.245787 0.25805 0.487814
5.69 0.245787 0.25805 0.477461
5.72 0.245787 0.25805 0.467465
5.75 0.245787 0.25805 0.457982
5.78 0.245787 0.25805 0.448499
5.81 0.245787 0.25805 0.439137
5.84 0.245787 0.25805 0.429893
5.87 0.245787 0.25805 0.420655
5.9 0.245787 0.25805 0.411758
5.93 0.245787 0.25805 0.403157
5.96 0.245787 0.25805 0.394642
5.99 0.245787 0.25805 0.386224
6.02 0.245787 0.25805 0.378105
6.05 0.245787 0.25805 0.370088
6.08 0.245787 0.25805 0.362099
6.11 0.245787 0.25805 0.354228
6.14 0.245787 0.25805 0.346386
6.17 0.245787 0.25805 0.338711
6.2 0.245787 0.25805 0.331223
6.23 0.245787 0.25805 0.323841
6.26 0.245787 0.25805 0.316528
6.29 0.245787 0.25805 0.309285
6.32 0.245787 0.25805 0.302214
6.35 0.245787 0.25805 0.2952
6.38 0.245787 0.25805 0.288428
6.41 0.245787 0.25805 0.281697
6.44 0.245787 0.25805 0.275022
6.47 0.245787 0.25805 0.268461
6.5 0.245787 0.25805 0.261934
6.53 0.245787 0.25805 0.255406
6.56 0.245787 0.25805 0.248879
6.59 0.245787 0.25805 0.242352
6.62 0.245787 0.25805 0.235859
6.65 0.245787 0.25805 0.233729
6.68 0.245787 0.25805 0.233729
6.71 0.245787 0.25805 0.233729
6.74 0.245787 0.258793 0.233729
6.77 0.245787 0.260434 0.233729
6.8 0.245787 0.262076 0.233729
6.83 0.245787 0.263717 0.233729
6.86 0.245787 0.265359 0.233729
6.89 0.245787 0.267 0.233729
6.92 0.245787 0.268642 0.233729
6.95 0.245787 0.270284 0.233729
6.98 0.245787 0.271925 0.233729
7.01 0.245787 0.273567 0.233729
7.04 0.245787 0.275208 0.233729
7.07 0.245787 0.27685 0.233729
7.1 0.245787 0.278491 0.233729
7.13 0.245787 0.280136 0.233729
7.16 0.245787 0.281781 0.233729
7.19 0.245787 0.283426 0.233729
7.22 0.245787 0.285072 0.233729
7.25 0.245787 0.286717 0.233729
7.28 0.245787 0.288362 0.233729
7.31 0.245787 0.290007 0.233729
7.34 0.246839 0.291652 0.233729
7.37 0.248193 0.293298 0.233729
7.4 0.249548 0.294943 0.233729
7.43 0.250902 0.296588 0.233729
7.46 0.252257 0.298233 0.233729
7.49 0.253611 0.299879 0.233729
7.52 0.254965 0.301524 0.233729
7.55 0.25632 0.304227 0.233729
7.58 0.257674 0.307741 0.233729
7.61 0.259029 0.311254 0.233729
7.64 0.260383 0.314767 0.233729
7.67 0.261738 0.31828 0.233729
7.7 0.263092 0.321794 0.233729
7.73 0.264446 0.325307 0.233729
7.76 0.265801 0.32882 0.233729
7.79 0.267155 0.332334 0.233729
7.82 0.26851 0.335847 0.233729
7.85 0.269864 0.33936 0.233729
7.88 0.271223 0.342873 0.233729
7.91 0.272583 0.346387 0.233729
7.94 0.273942 0.3499 0.233729
7.97 0.275301 0.353413 0.233729
