nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 205.101741538 137.176833695 132.71452493 142.193952353 148.819472529 49.5156956603 93.2254452693 79.4433018913 111.659936669 68.5839834822 70.0834467718 187.416587962 
2 149.431675794 113.908416934 95.8967773967 80.6757568104 119.000765555 42.8794545329 73.2653364044 58.40225131 85.1735727012 57.3573608226 49.286944742 170.993848168 
3 131.334204952 101.706088953 86.0049661173 62.2138217608 106.879508498 38.9314189554 62.5414750478 51.8995643224 67.0108678556 53.4226656107 43.1033690894 155.091465163 
4 123.392488182 96.3657599248 79.7587749153 53.9839663053 99.5586983462 35.6710242901 54.5905311169 47.2231929079 62.9431703768 50.9232861518 38.7429361655 141.00547193 
5 118.063310758 91.3688214271 75.7456662977 50.9100701323 91.4596506272 34.0609034756 51.2904538625 44.9194690993 58.3347587905 48.4197746117 33.3698525273 130.982025205 
6 112.735203669 88.0661707244 72.4591960525 47.518151799 81.710476212 32.7006499577 49.6921588481 42.8919814647 56.1974576474 46.2612535454 30.8270090054 126.033850323 
7 109.059788071 85.7979558809 70.6107924563 44.3217988088 76.3068905491 31.3228740164 48.1039846803 41.4124163563 54.8957695375 44.4450168027 29.0813373649 120.664644338 
8 106.480738511 83.6704971356 68.33256272 42.5870647604 72.3096363413 30.3903578779 46.9089043273 39.8823173497 53.810889682 43.5226812911 27.6849824307 116.893412925 
9 103.908607185 81.8504712834 66.057870294 41.0564677309 68.9040550446 29.7408175066 45.6858146574 38.6979672863 52.647634632 42.2057732609 26.6630161442 111.274771047 
10 101.794772928 80.3845092788 64.3563087272 38.8411556303 66.0011488252 28.7889987178 44.6184385346 37.6925415471 51.6618233682 41.2410635597 25.8840499557 108.108433365 
