nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 38.6735956997 7.86753082953 10.1023070907 4.90143730559 19.0726201037 5.78865601452 6.78186940885 6.56853317411 14.4152022999 12.0626001262 4.80013296176 31.3361766679 
2 32.0325473221 7.16772338336 8.5966367052 3.94447926635 14.1606768806 5.02265541895 6.02551336984 5.23347891921 10.180561466 10.579204864 4.03621658243 27.8879524753 
3 29.435756097 6.85759427817 8.06265390151 3.54286951556 12.3006456477 4.5762952944 5.55394263904 4.5648795919 8.74109235544 9.05575172664 3.59799837028 26.0129099232 
4 27.4748901901 6.41250805596 7.57674537889 3.36680892703 11.0613638591 4.32303051671 5.27011276761 4.21405935834 8.19411286442 8.24861500766 3.28112758699 23.9814133033 
5 26.1773861944 6.131872085 7.22372283577 3.09261391189 10.2355561879 4.11101440148 5.04187333243 4.06594655146 7.70434490055 7.81667718572 3.1180738077 22.4026062987 
6 25.0263917497 5.8663582074 6.96246343133 2.92583916615 9.75604693285 3.95256335724 4.84967357317 3.88080799295 7.41328892642 7.39957410758 2.97773150886 20.9415834515 
7 24.1134604478 5.67789311174 6.71789568185 2.84369742747 9.22135495655 3.83911510809 4.67995243047 3.7328311531 6.99635612077 7.10914083356 2.86710267512 19.6819530238 
8 23.3655453106 5.55057126522 6.57136211441 2.74388301685 8.81221007757 3.71855767335 4.53571440168 3.60001867132 6.7225240812 6.88803224417 2.76526033081 18.8017449737 
9 22.5959963199 5.43620619376 6.39814223336 2.63523367766 8.41064963745 3.63062396155 4.42039061726 3.52404476447 6.56746033233 6.62542849016 2.69099016774 18.0629742828 
10 22.062550154 5.33094316459 6.30024878448 2.57740285485 8.0667702175 3.56156250567 4.29008424186 3.46099158363 6.34849883583 6.4282484498 2.62780552461 17.4313762316 
