nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 
1 315.115198263 114.167903475 96.6376389718 186.541765628 101.213823852 76.0966484188 65.9146809112 89.1379101385 
2 227.289163613 88.2125952949 71.6508320328 87.4496264263 77.7994763537 63.501659863 54.6917493151 63.3055675533 
3 189.147999843 81.3263424678 65.9358905023 70.3253115247 71.3845781887 58.768353684 47.6034180122 56.8315424031 
4 176.86132598 76.6937531283 62.1468647618 60.4312934823 67.3509491326 55.5493319228 44.0791199116 52.4689800878 
5 167.827567948 74.1987914651 59.5051158848 57.4224435762 63.7468101562 52.4396681567 42.0645882364 49.5687092513 
6 158.834696121 71.6150089005 57.443348487 55.0481065728 61.2501671319 50.7757450374 39.6662287005 47.5752905264 
7 154.415288323 69.3270934107 55.4365442674 53.393908364 59.4249044263 49.3455199183 38.1682962242 45.509363518 
8 149.937789525 67.2316799982 53.7723445244 51.449567732 58.2684319735 48.532692773 37.1698297784 44.217636146 
9 146.196953828 65.5812740307 52.471870342 50.5540781263 56.5834794533 47.8663879927 35.9675215982 43.0560537442 
10 142.875776791 64.3041268928 51.4748050727 48.6501105766 55.0834441604 47.2033812922 35.279214883 42.0885242102 
