mlu_mttoe_1 stretch_mttoe_1 alu_mttoe_1 mlu_pttoe_1 stretch_pttoe_1 alu_pttoe_1 mlu_mttoe_12 stretch_mttoe_12 alu_mttoe_12 mlu_pttoe_12 stretch_pttoe_12 alu_pttoe_12 mlu_mttoe_288 stretch_mttoe_288 alu_mttoe_288 mlu_pttoe_288 stretch_pttoe_288 alu_pttoe_288 mlu_mttoe_2016 stretch_mttoe_2016 alu_mttoe_2016 mlu_pttoe_2016 stretch_pttoe_2016 alu_pttoe_2016
0.49017 5.03765 0.17225 0.47776 5.24237 0.31227 0.49008 5.05877 0.17645 0.47776 5.31396 0.26453 0.48269 5.03626 0.28740 0.47776 5.27939 0.28205 0.49834 5.03626 0.50866 0.47776 5.34725 0.27852 
0.52734 5.13324 0.32549 0.52869 5.50137 0.27652 0.52712 5.13855 0.33232 0.52869 5.50964 0.25064 0.53080 5.12858 0.33110 0.52853 5.54398 0.29525 0.53446 5.13252 2.27048 0.52850 5.54869 0.28412 
0.53739 5.15939 0.49508 0.53884 5.56442 0.25942 0.53737 5.16631 0.50812 0.53907 5.56219 0.27339 0.53909 5.16085 1.41174 0.53867 5.59623 0.26711 0.54180 5.19097 3.00658 0.53877 5.59309 0.28605 
0.54428 5.18300 0.76666 0.54610 5.61045 0.27675 0.54401 5.18779 0.91669 0.54631 5.60972 0.28384 0.54547 5.18752 2.42761 0.54606 5.63250 0.29304 0.54692 5.23321 3.58790 0.54583 5.62849 0.29185 
0.54945 5.20095 1.39122 0.55133 5.65149 0.32807 0.54910 5.20552 1.59788 0.55153 5.63950 0.28346 0.55013 5.21520 3.54837 0.55130 5.66246 0.28480 0.55084 5.25772 4.16143 0.55125 5.66139 0.29072 
0.55403 5.21850 2.16200 0.55633 5.68978 3.40293 0.55376 5.22229 2.32187 0.55664 5.67120 4.49922 0.55491 5.23664 4.07809 0.55633 5.68970 0.29718 0.55515 5.27894 4.88501 0.55633 5.68751 0.27792 
0.55877 5.23539 2.73667 0.56145 5.71998 0.27366 0.55848 5.24185 2.95790 0.56159 5.70205 0.28691 0.55933 5.25546 4.33676 0.56145 5.71887 0.28334 0.55883 5.30145 5.69946 0.56132 5.71506 0.28518 
0.56273 5.25394 3.38459 0.56574 5.74628 0.26002 0.56246 5.25866 3.53554 0.56575 5.73478 0.24770 0.56335 5.27349 4.73515 0.56571 5.74763 0.26853 0.56240 5.32239 6.15880 0.56566 5.74181 0.26062 
0.56729 5.26916 4.00436 0.57020 5.77698 0.32445 0.56697 5.27619 4.10157 0.57013 5.76418 0.28448 0.56748 5.29092 5.21751 0.57009 5.77452 0.27113 0.56674 5.34153 6.39343 0.57009 5.76546 0.27607 
0.57163 5.28825 4.67579 0.57483 5.80833 0.24852 0.57148 5.29577 4.67543 0.57483 5.79679 0.30505 0.57163 5.30649 6.03174 0.57473 5.80840 0.30212 0.57119 5.36770 6.53894 0.57474 5.79314 0.27722 
0.57617 5.30626 5.15274 0.57977 5.84090 0.23731 0.57617 5.31361 5.18519 0.57977 5.82659 0.26671 0.57627 5.32424 6.46965 0.57966 5.84324 0.26395 0.57590 5.39213 6.68983 0.57966 5.82016 0.27580 
0.58230 5.32440 5.58314 0.58593 5.86933 0.27674 0.58222 5.33375 5.68865 0.58579 5.85783 0.24415 0.58209 5.33858 6.72464 0.58568 5.87851 0.25702 0.58196 5.41752 6.87190 0.58571 5.84634 0.27217 
0.58856 5.34511 6.20035 0.59228 5.90042 0.28602 0.58839 5.35245 6.39798 0.59223 5.89119 0.26084 0.58795 5.35731 6.96372 0.59208 5.91445 0.24466 0.58809 5.44466 7.06866 0.59211 5.87632 0.26098 
0.59582 5.36543 6.89743 0.59931 5.93488 0.27715 0.59570 5.37446 7.03223 0.59916 5.92457 0.26318 0.59507 5.37910 7.24777 0.59916 5.94996 0.27474 0.59504 5.47076 7.31219 0.59916 5.90320 0.26493 
0.60304 5.39273 7.51663 0.60690 5.97169 0.24152 0.60296 5.39974 7.71053 0.60687 5.96249 0.26374 0.60270 5.40290 7.73788 0.60684 5.98714 0.25653 0.60265 5.50342 7.59194 0.60687 5.93516 0.27016 
0.61136 5.42092 8.80844 0.61566 6.00988 0.37916 0.61141 5.42785 9.21596 0.61557 5.99850 0.27736 0.61104 5.43233 8.73928 0.61557 6.02298 0.28394 0.61104 5.53756 7.92746 0.61557 5.96682 0.27146 
0.62044 5.45552 12.56554 0.62456 6.04841 0.26165 0.62065 5.46095 12.23601 0.62456 6.03931 0.24929 0.62015 5.46580 12.45890 0.62456 6.06154 0.27799 0.62016 5.58364 8.30619 0.62456 6.00348 0.25098 
0.63638 5.50230 25.30727 0.64062 6.10310 0.25730 0.63694 5.50308 25.12080 0.64062 6.08371 0.27861 0.63571 5.51231 25.46556 0.64053 6.11613 0.30311 0.63566 5.63902 8.82944 0.64053 6.04591 0.28032 
0.66439 5.57560 41.03506 0.66876 6.16915 0.26128 0.66573 5.58003 42.49094 0.66876 6.15255 0.25478 0.66372 5.58822 87.07628 0.66876 6.18187 0.28648 0.66389 5.73285 9.85250 0.66876 6.09523 0.25753 
0.91700 5.99283 109.69129 1.01500 6.52221 0.31055 0.91924 5.96079 104.15384 1.01500 6.49045 0.31711 0.91700 5.99195 110.67570 1.01500 6.40611 0.28469 0.91700 6.28324 21.38399 1.01500 6.32451 0.29648 
