mlu_mttoe_1 stretch_mttoe_1 mlu_pttoe_1 stretch_pttoe_1 mlu_mttoe_12 stretch_mttoe_12 mlu_pttoe_12 stretch_pttoe_12 mlu_mttoe_288 stretch_mttoe_288 mlu_pttoe_288 stretch_pttoe_288 mlu_mttoe_2016 stretch_mttoe_2016 mlu_pttoe_2016 stretch_pttoe_2016 
0.49017 5.03765 0.47776 5.20432 0.49008 5.05877 0.47776 5.25186 0.48269 5.03626 0.47776 5.25797 0.49834 5.03626 0.47776 5.35347 
0.52734 5.13324 0.52869 5.27890 0.52712 5.13855 0.52853 5.26048 0.53080 5.12858 0.52850 5.27102 0.53446 5.13252 0.52841 5.35368 
0.53739 5.15939 0.53892 5.28355 0.53737 5.16631 0.53884 5.26985 0.53909 5.16085 0.53889 5.29029 0.54180 5.19097 0.53864 5.37572 
0.54428 5.18300 0.54616 5.29765 0.54401 5.18779 0.54615 5.28586 0.54547 5.18752 0.54622 5.31353 0.54692 5.23321 0.54576 5.38160 
0.54945 5.20095 0.55144 5.30890 0.54910 5.20552 0.55142 5.28973 0.55013 5.21520 0.55168 5.31693 0.55084 5.25772 0.55122 5.38354 
0.55403 5.21850 0.55651 5.31524 0.55376 5.22229 0.55646 5.30377 0.55491 5.23664 0.55670 5.32608 0.55515 5.27894 0.55616 5.39090 
0.55877 5.23539 0.56154 5.32325 0.55848 5.24185 0.56147 5.30838 0.55933 5.25546 0.56168 5.34423 0.55883 5.30145 0.56131 5.39597 
0.56273 5.25394 0.56580 5.32377 0.56246 5.25866 0.56575 5.31278 0.56335 5.27349 0.56590 5.35055 0.56240 5.32239 0.56563 5.39780 
0.56729 5.26916 0.57021 5.32663 0.56697 5.27619 0.57021 5.31956 0.56748 5.29092 0.57020 5.37108 0.56674 5.34153 0.57008 5.40546 
0.57163 5.28825 0.57495 5.32949 0.57148 5.29577 0.57488 5.32004 0.57163 5.30649 0.57483 5.37144 0.57119 5.36770 0.57473 5.40761 
0.57617 5.30626 0.57984 5.34747 0.57617 5.31361 0.57982 5.33491 0.57627 5.32424 0.57981 5.37566 0.57590 5.39213 0.57965 5.41039 
0.58230 5.32440 0.58605 5.34782 0.58222 5.33375 0.58579 5.33741 0.58209 5.33858 0.58582 5.38345 0.58196 5.41752 0.58569 5.41407 
0.58856 5.34511 0.59228 5.34895 0.58839 5.35245 0.59216 5.33862 0.58795 5.35731 0.59211 5.38413 0.58809 5.44466 0.59207 5.41452 
0.59582 5.36543 0.59931 5.34937 0.59570 5.37446 0.59916 5.33944 0.59507 5.37910 0.59928 5.38471 0.59504 5.47076 0.59916 5.41668 
0.60304 5.39273 0.60697 5.35036 0.60296 5.39974 0.60684 5.33958 0.60270 5.40290 0.60690 5.38686 0.60265 5.50342 0.60687 5.41978 
0.61136 5.42092 0.61574 5.35754 0.61141 5.42785 0.61557 5.33975 0.61104 5.43233 0.61562 5.38966 0.61104 5.53756 0.61557 5.42104 
0.62044 5.45552 0.62479 5.36850 0.62065 5.46095 0.62456 5.34036 0.62015 5.46580 0.62456 5.39177 0.62016 5.58364 0.62456 5.42290 
0.63638 5.50230 0.64053 5.36976 0.63694 5.50308 0.64053 5.34300 0.63571 5.51231 0.64053 5.39177 0.63566 5.63902 0.64053 5.42346 
0.66439 5.57560 0.66876 5.37316 0.66573 5.58003 0.66876 5.34332 0.66372 5.58822 0.66876 5.39463 0.66389 5.73285 0.66876 5.42586 
0.90420 5.99283 1.01500 5.37719 0.91700 5.96079 1.01500 5.34532 0.91700 5.99195 1.01500 5.39759 0.91700 6.28324 1.02755 5.42894 
