mlu_mttoe_1 stretch_mttoe_1 alu_mttoe_1 mlu_pttoe_ave_1 stretch_pttoe_ave_1 alu_pttoe_ave_1 mlu_pttoe_max_1 stretch_pttoe_max_1 alu_pttoe_max_1 mlu_mttoe_12 stretch_mttoe_12 alu_mttoe_12 mlu_pttoe_ave_12 stretch_pttoe_ave_12 alu_pttoe_ave_12 mlu_pttoe_max_12 stretch_pttoe_max_12 alu_pttoe_max_12 mlu_mttoe_288 stretch_mttoe_288 alu_mttoe_288 mlu_pttoe_ave_288 stretch_pttoe_ave_288 alu_pttoe_ave_288 mlu_pttoe_max_288 stretch_pttoe_max_288 alu_pttoe_max_288 mlu_mttoe_2016 stretch_mttoe_2016 alu_mttoe_2016 mlu_pttoe_ave_2016 stretch_pttoe_ave_2016 alu_pttoe_ave_2016 mlu_pttoe_max_2016 stretch_pttoe_max_2016 alu_pttoe_max_2016 
0.48269 5.05877 0.256059608 0.49551 5.16634 0.288798884 0.47776 5.31610 0.279770349 0.49008 5.03626 0.254175401 0.50043 5.17188 0.278707249 0.47776 5.30298 0.278663232 0.49017 5.03765 0.254291670 0.50525 5.13725 0.301788557 0.47776 5.27496 0.276299657 0.49834 5.03626 0.254175401 0.50103 5.28543 0.296643436 0.47776 5.24187 0.273507285 
0.53080 5.13855 0.262737757 0.53592 5.32056 0.290102171 0.52853 5.53982 0.298644611 0.52712 5.12858 0.261903347 0.53569 5.33893 0.276815932 0.52837 5.48515 0.294032186 0.52734 5.13324 0.262293501 0.53701 5.33859 0.286217191 0.52869 5.51479 0.296532909 0.53446 5.13252 0.262233133 0.53612 5.39463 0.294375644 0.52850 5.51369 0.296446028 
0.53909 5.16631 0.265061912 0.54505 5.36404 0.291354339 0.53884 5.58711 0.302634862 0.53737 5.16085 0.264605319 0.54536 5.38609 0.324734683 0.53876 5.53743 0.298442786 0.53739 5.15939 0.264482428 0.54506 5.38017 0.312968927 0.53884 5.56785 0.301009259 0.54180 5.19097 0.267126375 0.54517 5.42296 0.292745592 0.53878 5.56923 0.301127061 
0.54547 5.18779 0.266860518 0.55080 5.39521 0.301852765 0.54618 5.62202 0.305579455 0.54401 5.18752 0.266837470 0.55201 5.41644 0.309271973 0.54606 5.57882 0.301934760 0.54428 5.18300 0.266459532 0.55049 5.41394 0.303509641 0.54616 5.61702 0.305158031 0.54692 5.23321 0.270662685 0.55085 5.44368 0.287317527 0.54606 5.61143 0.304688865 
0.55013 5.20552 0.268344656 0.55567 5.42638 0.282097662 0.55167 5.65326 0.308215371 0.54910 5.21520 0.269154694 0.55753 5.44463 0.290177415 0.55134 5.61498 0.304986204 0.54945 5.20095 0.267961507 0.55460 5.44276 0.303570087 0.55135 5.65134 0.308053760 0.55084 5.25772 0.272713994 0.55558 5.46176 0.296545006 0.55135 5.64607 0.307616622 
0.55491 5.22229 0.269747961 0.56070 5.45322 0.306888609 0.55670 5.68224 0.310660058 0.55376 5.23664 0.270949948 0.56239 5.46760 0.312923158 0.55653 5.64931 0.307882217 0.55403 5.21850 0.269431263 0.55866 5.46829 0.287149530 0.55648 5.68872 0.311206728 0.55515 5.27894 0.274490813 0.56046 5.47676 0.291384290 0.55658 5.68318 0.310740463 
0.55933 5.24185 0.271385685 0.56506 5.47807 0.312833868 0.56170 5.71143 0.313123125 0.55848 5.25546 0.272525407 0.56624 5.48868 0.290982001 0.56155 5.67953 0.310431952 0.55877 5.23539 0.270844902 0.56291 5.49093 0.296985864 0.56154 5.72020 0.313862906 0.55883 5.30145 0.276374964 0.56472 5.49045 0.287368509 0.56154 5.71281 0.313242645 
0.56335 5.25866 0.272793043 0.56902 5.50247 0.305038898 0.56574 5.73787 0.315353729 0.56246 5.27349 0.274034183 0.57033 5.51115 0.311275478 0.56576 5.71263 0.313224271 0.56273 5.25394 0.272397866 0.56645 5.51326 0.299251050 0.56577 5.75044 0.316414506 0.56240 5.32239 0.278128089 0.56847 5.50561 0.312453962 0.56578 5.74376 0.315859364 
0.56748 5.27619 0.274260673 0.57320 5.52484 0.300561016 0.57014 5.76229 0.317413816 0.56697 5.29092 0.275493116 0.57433 5.53223 0.291733457 0.57014 5.74748 0.316164888 0.56729 5.26916 0.273671589 0.57095 5.53730 0.292858039 0.57020 5.78022 0.318927034 0.56674 5.34153 0.279730254 0.57252 5.51877 0.299617190 0.57020 5.77437 0.318444309 
0.57163 5.29577 0.275899320 0.57774 5.54965 0.291017867 0.57481 5.78388 0.319235866 0.57148 5.30649 0.276796643 0.57837 5.55465 0.284937283 0.57481 5.78229 0.319101544 0.57163 5.28825 0.275270375 0.57541 5.55937 0.295480194 0.57495 5.80737 0.321217024 0.57119 5.36770 0.281920634 0.57687 5.53584 0.294488789 0.57491 5.80696 0.321186752 
