n_parallelism cthru_reconfig log_cthru_reconfig daily_reconfig_fast_switch log_daily_reconfig_fast_switch daily_reconfig_slow_switch log_daily_reconfig_slow_switch minute_reconfig_fast_switch log_minute_reconfig_fast_switch minute_reconfig_slow_switch log_minute_reconfig_slow_switch mordia_reconfig log_mordia_reconfig projector_reconfig log_projector_reconfig weekly_reconfig_fast_switch log_weekly_reconfig_fast_switch weekly_reconfig_slow_switch log_weekly_reconfig_slow_switch 
1 2.5600E-01 -5.9176E-01 3.5556E-09 -8.4491E+00 8.8889E-06 -5.0512E+00 5.1200E-06 -5.2907E+00 1.2800E-02 -1.8928E+00 2.7774E+01 1.4436E+00 2.5600E+01 1.4082E+00 5.0794E-10 -9.2942E+00 1.2698E-06 -5.8963E+00 
6 4.3000E-02 -1.3665E+00 5.9722E-10 -9.2239E+00 1.4931E-06 -5.8259E+00 8.6000E-07 -6.0655E+00 2.1500E-03 -2.6676E+00 4.6651E+00 6.6886E-01 4.3000E+00 6.3347E-01 8.5317E-11 -1.0069E+01 2.1329E-07 -6.6710E+00 
11 2.4000E-02 -1.6198E+00 3.3333E-10 -9.4771E+00 8.3333E-07 -6.0792E+00 4.8000E-07 -6.3188E+00 1.2000E-03 -2.9208E+00 2.6038E+00 4.1560E-01 2.4000E+00 3.8021E-01 4.7619E-11 -1.0322E+01 1.1905E-07 -6.9243E+00 
16 1.6000E-02 -1.7959E+00 2.2222E-10 -9.6532E+00 5.5556E-07 -6.2553E+00 3.2000E-07 -6.4949E+00 8.0000E-04 -3.0969E+00 1.7358E+00 2.3951E-01 1.6000E+00 2.0412E-01 3.1746E-11 -1.0498E+01 7.9365E-08 -7.1004E+00 
21 1.3000E-02 -1.8861E+00 1.8056E-10 -9.7434E+00 4.5139E-07 -6.3454E+00 2.6000E-07 -6.5850E+00 6.5000E-04 -3.1871E+00 1.4104E+00 1.4934E-01 1.3000E+00 1.1394E-01 2.5794E-11 -1.0588E+01 6.4484E-08 -7.1905E+00 
26 1.0000E-02 -2.0000E+00 1.3889E-10 -9.8573E+00 3.4722E-07 -6.4594E+00 2.0000E-07 -6.6990E+00 5.0000E-04 -3.3010E+00 1.0849E+00 3.5392E-02 1.0000E+00 0.0000E+00 1.9841E-11 -1.0702E+01 4.9603E-08 -7.3045E+00 
31 9.0000E-03 -2.0458E+00 1.2500E-10 -9.9031E+00 3.1250E-07 -6.5051E+00 1.8000E-07 -6.7447E+00 4.5000E-04 -3.3468E+00 9.7642E-01 -1.0366E-02 9.0000E-01 -4.5757E-02 1.7857E-11 -1.0748E+01 4.4643E-08 -7.3502E+00 
36 8.0000E-03 -2.0969E+00 1.1111E-10 -9.9542E+00 2.7778E-07 -6.5563E+00 1.6000E-07 -6.7959E+00 4.0000E-04 -3.3979E+00 8.6792E-01 -6.1518E-02 8.0000E-01 -9.6910E-02 1.5873E-11 -1.0799E+01 3.9683E-08 -7.4014E+00 
41 7.0000E-03 -2.1549E+00 9.7222E-11 -1.0012E+01 2.4306E-07 -6.6143E+00 1.4000E-07 -6.8539E+00 3.5000E-04 -3.4559E+00 7.5943E-01 -1.1951E-01 7.0000E-01 -1.5490E-01 1.3889E-11 -1.0857E+01 3.4722E-08 -7.4594E+00 
46 6.0000E-03 -2.2218E+00 8.3333E-11 -1.0079E+01 2.0833E-07 -6.6812E+00 1.2000E-07 -6.9208E+00 3.0000E-04 -3.5229E+00 6.5094E-01 -1.8646E-01 6.0000E-01 -2.2185E-01 1.1905E-11 -1.0924E+01 2.9762E-08 -7.5263E+00 
52 5.0000E-03 -2.3010E+00 6.9444E-11 -1.0158E+01 1.7361E-07 -6.7604E+00 1.0000E-07 -7.0000E+00 2.5000E-04 -3.6021E+00 5.4245E-01 -2.6564E-01 5.0000E-01 -3.0103E-01 9.9206E-12 -1.1003E+01 2.4802E-08 -7.6055E+00 
57 5.0000E-03 -2.3010E+00 6.9444E-11 -1.0158E+01 1.7361E-07 -6.7604E+00 1.0000E-07 -7.0000E+00 2.5000E-04 -3.6021E+00 5.4245E-01 -2.6564E-01 5.0000E-01 -3.0103E-01 9.9206E-12 -1.1003E+01 2.4802E-08 -7.6055E+00 
62 5.0000E-03 -2.3010E+00 6.9444E-11 -1.0158E+01 1.7361E-07 -6.7604E+00 1.0000E-07 -7.0000E+00 2.5000E-04 -3.6021E+00 5.4245E-01 -2.6564E-01 5.0000E-01 -3.0103E-01 9.9206E-12 -1.1003E+01 2.4802E-08 -7.6055E+00 
67 4.0000E-03 -2.3979E+00 5.5556E-11 -1.0255E+01 1.3889E-07 -6.8573E+00 8.0000E-08 -7.0969E+00 2.0000E-04 -3.6990E+00 4.3396E-01 -3.6255E-01 4.0000E-01 -3.9794E-01 7.9365E-12 -1.1100E+01 1.9841E-08 -7.7024E+00 
72 4.0000E-03 -2.3979E+00 5.5556E-11 -1.0255E+01 1.3889E-07 -6.8573E+00 8.0000E-08 -7.0969E+00 2.0000E-04 -3.6990E+00 4.3396E-01 -3.6255E-01 4.0000E-01 -3.9794E-01 7.9365E-12 -1.1100E+01 1.9841E-08 -7.7024E+00 
77 4.0000E-03 -2.3979E+00 5.5556E-11 -1.0255E+01 1.3889E-07 -6.8573E+00 8.0000E-08 -7.0969E+00 2.0000E-04 -3.6990E+00 4.3396E-01 -3.6255E-01 4.0000E-01 -3.9794E-01 7.9365E-12 -1.1100E+01 1.9841E-08 -7.7024E+00 
82 4.0000E-03 -2.3979E+00 5.5556E-11 -1.0255E+01 1.3889E-07 -6.8573E+00 8.0000E-08 -7.0969E+00 2.0000E-04 -3.6990E+00 4.3396E-01 -3.6255E-01 4.0000E-01 -3.9794E-01 7.9365E-12 -1.1100E+01 1.9841E-08 -7.7024E+00 
87 3.0000E-03 -2.5229E+00 4.1667E-11 -1.0380E+01 1.0417E-07 -6.9823E+00 6.0000E-08 -7.2218E+00 1.5000E-04 -3.8239E+00 3.2547E-01 -4.8749E-01 3.0000E-01 -5.2288E-01 5.9524E-12 -1.1225E+01 1.4881E-08 -7.8274E+00 
92 3.0000E-03 -2.5229E+00 4.1667E-11 -1.0380E+01 1.0417E-07 -6.9823E+00 6.0000E-08 -7.2218E+00 1.5000E-04 -3.8239E+00 3.2547E-01 -4.8749E-01 3.0000E-01 -5.2288E-01 5.9524E-12 -1.1225E+01 1.4881E-08 -7.8274E+00 
97 3.0000E-03 -2.5229E+00 4.1667E-11 -1.0380E+01 1.0417E-07 -6.9823E+00 6.0000E-08 -7.2218E+00 1.5000E-04 -3.8239E+00 3.2547E-01 -4.8749E-01 3.0000E-01 -5.2288E-01 5.9524E-12 -1.1225E+01 1.4881E-08 -7.8274E+00 
103 3.0000E-03 -2.5229E+00 4.1667E-11 -1.0380E+01 1.0417E-07 -6.9823E+00 6.0000E-08 -7.2218E+00 1.5000E-04 -3.8239E+00 3.2547E-01 -4.8749E-01 3.0000E-01 -5.2288E-01 5.9524E-12 -1.1225E+01 1.4881E-08 -7.8274E+00 
108 3.0000E-03 -2.5229E+00 4.1667E-11 -1.0380E+01 1.0417E-07 -6.9823E+00 6.0000E-08 -7.2218E+00 1.5000E-04 -3.8239E+00 3.2547E-01 -4.8749E-01 3.0000E-01 -5.2288E-01 5.9524E-12 -1.1225E+01 1.4881E-08 -7.8274E+00 
113 3.0000E-03 -2.5229E+00 4.1667E-11 -1.0380E+01 1.0417E-07 -6.9823E+00 6.0000E-08 -7.2218E+00 1.5000E-04 -3.8239E+00 3.2547E-01 -4.8749E-01 3.0000E-01 -5.2288E-01 5.9524E-12 -1.1225E+01 1.4881E-08 -7.8274E+00 
118 3.0000E-03 -2.5229E+00 4.1667E-11 -1.0380E+01 1.0417E-07 -6.9823E+00 6.0000E-08 -7.2218E+00 1.5000E-04 -3.8239E+00 3.2547E-01 -4.8749E-01 3.0000E-01 -5.2288E-01 5.9524E-12 -1.1225E+01 1.4881E-08 -7.8274E+00 
123 3.0000E-03 -2.5229E+00 4.1667E-11 -1.0380E+01 1.0417E-07 -6.9823E+00 6.0000E-08 -7.2218E+00 1.5000E-04 -3.8239E+00 3.2547E-01 -4.8749E-01 3.0000E-01 -5.2288E-01 5.9524E-12 -1.1225E+01 1.4881E-08 -7.8274E+00 
128 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
133 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
138 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
143 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
148 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
154 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
159 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
164 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
169 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
174 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
179 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
184 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
189 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
194 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
199 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
205 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
210 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
215 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
220 2.0000E-03 -2.6990E+00 2.7778E-11 -1.0556E+01 6.9444E-08 -7.1584E+00 4.0000E-08 -7.3979E+00 1.0000E-04 -4.0000E+00 2.1698E-01 -6.6358E-01 2.0000E-01 -6.9897E-01 3.9683E-12 -1.1401E+01 9.9206E-09 -8.0035E+00 
