n_parallelism fraction_capacity_left_vect log_fraction_capacity_left_vect reconfig_time_fast_switch_vect log_reconfig_time_fast_switch_vect reconfig_time_slow_switch_vect log_reconfig_time_slow_switch_vect 
1 9.9902E-01 -4.2432E-04 3.0720E-03 -2.5126E+00 7.6800E+00 8.8536E-01 
6 9.9414E-01 -2.5522E-03 5.1600E-04 -3.2874E+00 1.2900E+00 1.1059E-01 
11 9.8926E-01 -4.6905E-03 2.8800E-04 -3.5406E+00 7.2000E-01 -1.4267E-01 
16 9.8438E-01 -6.8394E-03 1.9200E-04 -3.7167E+00 4.8000E-01 -3.1876E-01 
21 9.7949E-01 -8.9990E-03 1.5600E-04 -3.8069E+00 3.9000E-01 -4.0894E-01 
26 9.7461E-01 -1.1169E-02 1.2000E-04 -3.9208E+00 3.0000E-01 -5.2288E-01 
31 9.6973E-01 -1.3351E-02 1.0800E-04 -3.9666E+00 2.7000E-01 -5.6864E-01 
36 9.6484E-01 -1.5543E-02 9.6000E-05 -4.0177E+00 2.4000E-01 -6.1979E-01 
41 9.5996E-01 -1.7746E-02 8.4000E-05 -4.0757E+00 2.1000E-01 -6.7778E-01 
46 9.5508E-01 -1.9961E-02 7.2000E-05 -4.1427E+00 1.8000E-01 -7.4473E-01 
51 9.5020E-01 -2.2187E-02 7.2000E-05 -4.1427E+00 1.8000E-01 -7.4473E-01 
56 9.4531E-01 -2.4425E-02 6.0000E-05 -4.2218E+00 1.5000E-01 -8.2391E-01 
61 9.4043E-01 -2.6674E-02 6.0000E-05 -4.2218E+00 1.5000E-01 -8.2391E-01 
67 9.3457E-01 -2.9388E-02 4.8000E-05 -4.3188E+00 1.2000E-01 -9.2082E-01 
72 9.2969E-01 -3.1663E-02 4.8000E-05 -4.3188E+00 1.2000E-01 -9.2082E-01 
77 9.2480E-01 -3.3950E-02 4.8000E-05 -4.3188E+00 1.2000E-01 -9.2082E-01 
82 9.1992E-01 -3.6249E-02 4.8000E-05 -4.3188E+00 1.2000E-01 -9.2082E-01 
87 9.1504E-01 -3.8560E-02 3.6000E-05 -4.4437E+00 9.0000E-02 -1.0458E+00 
92 9.1016E-01 -4.0884E-02 3.6000E-05 -4.4437E+00 9.0000E-02 -1.0458E+00 
97 9.0527E-01 -4.3220E-02 3.6000E-05 -4.4437E+00 9.0000E-02 -1.0458E+00 
102 9.0039E-01 -4.5569E-02 3.6000E-05 -4.4437E+00 9.0000E-02 -1.0458E+00 
107 8.9551E-01 -4.7931E-02 3.6000E-05 -4.4437E+00 9.0000E-02 -1.0458E+00 
112 8.9062E-01 -5.0305E-02 3.6000E-05 -4.4437E+00 9.0000E-02 -1.0458E+00 
117 8.8574E-01 -5.2693E-02 3.6000E-05 -4.4437E+00 9.0000E-02 -1.0458E+00 
122 8.8086E-01 -5.5093E-02 3.6000E-05 -4.4437E+00 9.0000E-02 -1.0458E+00 
128 8.7500E-01 -5.7992E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
133 8.7012E-01 -6.0422E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
138 8.6523E-01 -6.2866E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
143 8.6035E-01 -6.5324E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
148 8.5547E-01 -6.7796E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
153 8.5059E-01 -7.0282E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
158 8.4570E-01 -7.2782E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
163 8.4082E-01 -7.5297E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
168 8.3594E-01 -7.7826E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
173 8.3105E-01 -8.0370E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
178 8.2617E-01 -8.2930E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
183 8.2129E-01 -8.5504E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
188 8.1641E-01 -8.8094E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
194 8.1055E-01 -9.1222E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
199 8.0566E-01 -9.3846E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
204 8.0078E-01 -9.6486E-02 2.4000E-05 -4.6198E+00 6.0000E-02 -1.2218E+00 
