nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7 fab8 fab9 fab10 fab11 
1 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 
2 0.55093609015571234 0.49309185480352647 0.4664979681468914 0.6303333819151383 0.4787603888759028 0.6027199215424316 0.6031897364041336 0.4843891732614845 0.5817805463413305 0.7127742456821184 0.6213572501249295 0.45064825445575387 
3 0.5525071182596859 0.4754801649287287 0.3922031332215701 0.6177647279602972 0.4836485401859927 0.6308132225964676 0.5686410739254476 0.4950034185534065 0.5477375451879595 0.7421364259569921 0.493313284746984 0.48077604112485874
4 0.59363812191273737 0.49782004906877377 0.3905904438267669 0.6140951042189709 0.48455812856658107 0.597174400214913 0.53611995499472533 0.43085869630559334 0.5586734358651551 0.5779931578012099 0.4248143291922534 0.41499086668068144 
5 0.532033638915842 0.45526746918566987 0.4101827001406128 0.6067735355441283 0.50102185541398257 0.5507447130612645 0.48945609963641736 0.4411875920987476 0.5913221344733044 0.4635772278757966 0.42234165209654775 0.40370777012907896 
6 0.51065454546909674 0.42936776978265986 0.4024913635338329 0.6288596564900927 0.47641108671173095 0.47154983459581126 0.45366640399630733 0.44097773459723224 0.5491406689656705 0.4435529579763855 0.3998538110299994 0.39807291859060225 
7 0.44298512202241205 0.4453809115661891 0.4102998329608725 0.57482537512795864 0.4887603888759028 0.46216875912526314 0.487454627773659 0.45009827756114564 0.5469459602063163 0.44244072725824113 0.40367474924334664 0.3909416927060506 
8 0.42900398335956405 0.4395879137003147 0.4049296192595431 0.58517122304344096 0.48720930341343174 0.4684349613889377 0.4542800638058793 0.4561755431966068 0.5590091985037452 0.44566100555287413 0.3917508310463417 0.37374764926008655 
9 0.4073252176139295 0.4326764552779745 0.4109962916554307 0.57896569596568606 0.48840824979047595 0.45287525222413285 0.46375402983152405 0.4671279785278736 0.5512840536018069 0.44559666295446143 0.37944331292963065 0.36714590979596864 
10 0.4047926499195297 0.41584627424079625 0.40834351992208797 0.55641146808845356 0.48470930341343178 0.4251902254821829 0.46025883701075434 0.4203387233976188 0.5494169523923486 0.4354999369249014 0.38482708975193155 0.3705139511832628 
