x_range mlu lu90 lu50 ahc competitive_ratio 
0 2.9466943032 2.9466943032 1.42993728352 2 10.0 
1 3.24118553203 3.24118553203 1.45768388035 2 10.0 
2 3.28634100574 3.28634100574 1.47695338972 2 10.0 
3 3.33308726001 3.33308726001 1.49128132579 2 10.0 
4 3.39756250141 3.39756250141 1.49912106162 2 10.0 
5 3.44968191825 3.44968191825 1.5217399562 2 10.0 
6 3.47665865747 3.47665865747 1.5431698586 2 10.0 
7 3.50386294843 3.50386294843 1.56268957163 2 10.0 
8 3.53501579623 3.53501579623 1.57152693592 2 10.0 
9 3.56630690173 3.56630690173 1.58690090368 2 10.0 
10 3.58261590854 3.58261590854 1.6066503632 2 10.0 
11 3.64680999781 3.64680999781 1.61742256445 2 10.0 
12 3.68650594293 3.68650594293 1.63282090994 2 10.0 
13 3.7034966674 3.7034966674 1.64037649238 2 10.0 
14 3.73450663165 3.73450663165 1.65467827628 2 10.0 
15 3.76311431088 3.76311431088 1.66037236901 2 10.0 
16 3.78494899914 3.78494899914 1.66804973043 2 10.0 
17 3.8104624896 3.8104624896 1.67380695594 2 10.0 
18 3.82907418032 3.82907418032 1.68918516933 2 10.0 
19 3.84161067141 3.84161067141 1.69885637595 2 10.0 
20 3.86611388772 3.86611388772 1.71578546462 2 10.0 
21 3.87979661137 3.87979661137 1.72676677797 2 10.0 
22 3.91245975418 3.91245975418 1.74185537892 2 10.0 
23 3.93809417664 3.93809417664 1.75192300179 2 10.0 
24 3.96888748818 3.96888748818 1.76787405714 2 10.0 
25 3.99890751303 3.99890751303 1.77993585469 2 10.0 
26 4.02001813516 4.02001813516 1.79616974143 2 10.0 
27 4.0487075399 4.0487075399 1.80657545362 2 10.0 
28 4.0764225184 4.0764225184 1.81425770618 2 10.0 
29 4.09805918165 4.09805918165 1.82834607752 2 10.0 
30 4.12375686142 4.12375686142 1.84029983001 2 10.0 
31 4.14414675865 4.14414675865 1.85320548159 2 10.0 
32 4.16648936592 4.16648936592 1.86354695098 2 10.0 
33 4.18739303372 4.18739303372 1.87483291631 2 10.0 
34 4.2023107732 4.2023107732 1.8840458985 2 10.0 
35 4.22231500428 4.22231500428 1.89513875473 2 10.0 
36 4.23993365968 4.23993365968 1.90986912106 2 10.0 
37 4.25184609335 4.25184609335 1.91783203677 2 10.0 
38 4.27715730619 4.27715730619 1.92900607575 2 10.0 
39 4.30320675458 4.30320675458 1.93652803007 2 10.0 
40 4.32406530793 4.32406530793 1.9492707587 2 10.0 
41 4.34874313001 4.34874313001 1.96053139137 2 10.0 
42 4.36912189753 4.36912189753 1.9728501961 2 10.0 
43 4.38910910375 4.38910910375 1.98636779664 2 10.0 
44 4.40102463792 4.40102463792 1.99630782915 2 10.0 
45 4.42081315993 4.42081315993 2.01120714356 2 10.0 
46 4.43946204523 4.43946204523 2.02311171716 2 10.0 
47 4.45833219697 4.45833219697 2.03825149412 2 10.0 
48 4.47815041824 4.47815041824 2.0523145251 2 10.0 
49 4.52150431667 4.52150431667 2.06684474389 2 10.0 
50 4.55648904581 4.55648904581 2.08173030814 2 10.0 
51 4.58023549856 4.58023549856 2.09003209037 2 10.0 
52 4.62080197377 4.62080197377 2.10220668049 2 10.0 
53 4.65594127331 4.65594127331 2.11081500233 2 10.0 
54 4.67406285327 4.67406285327 2.12088068613 2 10.0 
55 4.70309870056 4.70309870056 2.13760945075 2 10.0 
56 4.72989080406 4.72989080406 2.14805428897 2 10.0 
57 4.75488708757 4.75488708757 2.16237094704 2 10.0 
58 4.77273264286 4.77273264286 2.1760269679 2 10.0 
59 4.79744152923 4.79744152923 2.18961254119 2 10.0 
60 4.83441345241 4.83441345241 2.21095857451 2 10.0 
61 4.85492967319 4.85492967319 2.22812322391 2 10.0 
62 4.88080129565 4.88080129565 2.24269447799 2 10.0 
63 4.90767433258 4.90767433258 2.2540270906 2 10.0 
64 4.94466772365 4.94466772365 2.27251638122 2 10.0 
65 4.97203192249 4.97203192249 2.29257707328 2 10.0 
66 4.99631492516 4.99631492516 2.31327804566 2 10.0 
67 5.02548463758 5.02548463758 2.33145883495 2 10.0 
68 5.07573301402 5.07573301402 2.34223944964 2 10.0 
69 5.0977167284 5.0977167284 2.35509061989 2 10.0 
70 5.14343358629 5.14343358629 2.36521617652 2 10.0 
71 5.17894799655 5.17894799655 2.37978997181 2 10.0 
72 5.20980890542 5.20980890542 2.40015935419 2 10.0 
73 5.25137150056 5.25137150056 2.40959545392 2 10.0 
74 5.28719376694 5.28719376694 2.42685507072 2 10.0 
75 5.33847645013 5.33847645013 2.44820109588 2 10.0 
76 5.36805937285 5.36805937285 2.47574587767 2 10.0 
77 5.40624548066 5.40624548066 2.50046896502 2 10.0 
78 5.44280267719 5.44280267719 2.53211929688 2 10.0 
79 5.48797272527 5.48797272527 2.55394620544 2 10.0 
80 5.52068507235 5.52068507235 2.56658745517 2 10.0 
81 5.56521266951 5.56521266951 2.60743696418 2 10.0 
82 5.62542443882 5.62542443882 2.630769628 2 10.0 
83 5.6903071535 5.6903071535 2.6423299894 2 10.0 
84 5.74917969206 5.74917969206 2.67317597993 2 10.0 
85 5.79619512505 5.79619512505 2.70676438343 2 10.0 
86 5.86586264298 5.86586264298 2.74023768855 2 10.0 
87 5.92203094218 5.92203094218 2.76102980957 2 10.0 
88 5.98656095421 5.98656095421 2.7846560855 2 10.0 
89 6.10373053551 6.10373053551 2.82329056594 2 10.0 
90 6.19707922582 6.19707922582 2.85714285714 2 10.0 
91 6.25966677677 6.25966677677 2.85714285714 2 10.0 
92 6.40279380164 6.40279380164 2.85714285714 2 10.0 
93 6.48608244544 6.48608244544 2.85714285714 2 10.0 
94 6.56203039127 6.56203039127 2.85714285714 2 10.0 
95 6.63806063766 6.63806063766 2.85714285714 2 10.0 
96 6.90939962232 6.90939962232 2.85714285714 2 10.0 
97 7.1757720585 7.1757720585 2.85714285714 2 10.0 
98 7.4514453764 7.4514453764 2.85714285714 2 10.0 
99 7.9173615117 7.9173615117 2.85714285714 2 10.0 
100 9.82379679413 9.82379679413 2.85714285714 2 10.0 
