x_range mlu lu90 lu50 ahc competitive_ratio 
0 0.383070259416 0.383070259416 0.0 1 1.0 
1 0.421354119163 0.421354119163 0.0 1 1.0 
2 0.427224330746 0.427224330746 0.0 1 1.0 
3 0.433301343801 0.433301343801 0.0 1 1.0 
4 0.441683125184 0.441683125184 0.0 1 1.0 
5 0.448458649372 0.448458649372 0.0 1 1.0 
6 0.451965625471 0.451965625471 0.0 1 1.0 
7 0.455502183295 0.455502183295 0.0 1 1.0 
8 0.459552053509 0.459552053509 0.0 1 1.0 
9 0.463619897225 0.463619897225 0.0 1 1.0 
10 0.46574006811 0.46574006811 0.0 1 1.0 
11 0.474085299715 0.474085299715 0.0 1 1.0 
12 0.479245772581 0.479245772581 0.0 1 1.0 
13 0.481454566761 0.481454566761 0.0 1 1.0 
14 0.485485862115 0.485485862115 0.0 1 1.0 
15 0.489204860415 0.489204860415 0.0 1 1.0 
16 0.492043369888 0.492043369888 0.0 1 1.0 
17 0.495360123648 0.495360123648 0.0 1 1.0 
18 0.497779643442 0.497779643442 0.0 1 1.0 
19 0.499409387283 0.499409387283 0.0 1 1.0 
20 0.502594805404 0.502594805404 0.0 1 1.0 
21 0.504373559478 0.504373559478 0.0 1 1.0 
22 0.508619768044 0.508619768044 0.0 1 1.0 
23 0.511952242963 0.511952242963 0.0 1 1.0 
24 0.515955373463 0.515955373463 0.0 1 1.0 
25 0.519857976694 0.519857976694 0.0 1 1.0 
26 0.52260235757 0.52260235757 0.0 1 1.0 
27 0.526331980186 0.526331980186 0.0 1 1.0 
28 0.529934927392 0.529934927392 0.0 1 1.0 
29 0.532747693614 0.532747693614 0.0 1 1.0 
30 0.536088391984 0.536088391984 0.0 1 1.0 
31 0.538739078625 0.538739078625 0.0 1 1.0 
32 0.541643617569 0.541643617569 0.0 1 1.0 
33 0.544361094384 0.544361094384 0.0 1 1.0 
34 0.546300400516 0.546300400516 0.0 1 1.0 
35 0.548900950557 0.548900950557 0.0 1 1.0 
36 0.551191375758 0.551191375758 0.0 1 1.0 
37 0.552739992136 0.552739992136 0.0 1 1.0 
38 0.556030449805 0.556030449805 0.0 1 1.0 
39 0.559416878096 0.559416878096 0.0 1 1.0 
40 0.56212849003 0.56212849003 0.0 1 1.0 
41 0.565336606901 0.565336606901 0.0 1 1.0 
42 0.567985846679 0.567985846679 0.0 1 1.0 
43 0.570584183487 0.570584183487 0.0 1 1.0 
44 0.57213320293 0.57213320293 0.0 1 1.0 
45 0.574705710791 0.574705710791 0.0 1 1.0 
46 0.57713006588 0.57713006588 0.0 1 1.0 
47 0.579583185606 0.579583185606 0.0 1 1.0 
48 0.582159554371 0.582159554371 0.0 1 1.0 
49 0.587795561168 0.587795561168 0.0 1 1.0 
50 0.592343575955 0.592343575955 0.0 1 1.0 
51 0.595430614813 0.595430614813 0.0 1 1.0 
52 0.60070425659 0.60070425659 0.0 1 1.0 
53 0.605272365531 0.605272365531 0.0 1 1.0 
54 0.607628170925 0.607628170925 0.0 1 1.0 
55 0.611402831073 0.611402831073 0.0 1 1.0 
56 0.614885804527 0.614885804527 0.0 1 1.0 
57 0.618135321384 0.618135321384 0.0 1 1.0 
58 0.620455243572 0.620455243572 0.0 1 1.0 
59 0.6236673988 0.6236673988 0.0 1 1.0 
60 0.628473748813 0.628473748813 0.0 1 1.0 
61 0.631140857514 0.631140857514 0.0 1 1.0 
62 0.634504168434 0.634504168434 0.0 1 1.0 
63 0.637997663235 0.637997663235 0.0 1 1.0 
64 0.642806804075 0.642806804075 0.0 1 1.0 
65 0.646364149923 0.646364149923 0.0 1 1.0 
66 0.649520940271 0.649520940271 0.0 1 1.0 
67 0.653313002886 0.653313002886 0.0 1 1.0 
68 0.659845291823 0.659845291823 0.0 1 1.0 
69 0.662703174692 0.662703174692 0.0 1 1.0 
70 0.668646366217 0.668646366217 0.0 1 1.0 
71 0.673263239551 0.673263239551 0.0 1 1.0 
72 0.677275157705 0.677275157705 0.0 1 1.0 
73 0.682678295072 0.682678295072 0.0 1 1.0 
74 0.687335189702 0.687335189702 0.0 1 1.0 
75 0.694001938517 0.694001938517 0.0 1 1.0 
76 0.697847718471 0.697847718471 0.0 1 1.0 
77 0.702811912486 0.702811912486 0.0 1 1.0 
78 0.707564348035 0.707564348035 0.0 1 1.0 
79 0.713436454285 0.713436454285 0.0 1 1.0 
80 0.717689059406 0.717689059406 0.0 1 1.0 
81 0.723477647037 0.723477647037 0.0 1 1.0 
82 0.731305177047 0.731305177047 0.0 1 1.0 
83 0.739739929955 0.739739929955 0.0 1 1.0 
84 0.747393359967 0.747393359967 0.0 1 1.0 
85 0.753505366256 0.753505366256 0.0 1 1.0 
86 0.762562143587 0.762562143587 0.0 1 1.0 
87 0.769864022483 0.769864022483 0.0 1 1.0 
88 0.778252924047 0.778252924047 0.0 1 1.0 
89 0.793484969617 0.793484969617 0.0 1 1.0 
90 0.805620299357 0.805620299357 0.0 1 1.0 
91 0.81375668098 0.81375668098 0.0 1 1.0 
92 0.832363194213 0.832363194213 0.0 1 1.0 
93 0.843190717908 0.843190717908 0.0 1 1.0 
94 0.853063950865 0.853063950865 0.0 1 1.0 
95 0.862947882896 0.862947882896 0.0 1 1.0 
96 0.898221950901 0.898221950901 0.0 1 1.0 
97 0.932850367605 0.932850367605 0.0 1 1.0 
98 0.968687898932 0.968687898932 0.0 1 1.0 
99 1.02925699652 1.02925699652 0.0 1 1.0 
100 1.27709358324 1.27709358324 0.0 1 1.0 
