timeseries lftoe_perf hftoe_perf static_perf cluster_indices
1 762.088510927 734.673558534 543.318110037 2 
2 651.545304835 735.626098656 485.753394846 2 
3 521.576226282 521.576226281 365.103358397 0 
4 640.283099943 722.104133836 505.472893688 2 
5 834.216053709 542.743076959 583.951237596 1 
6 675.95764918 601.284081597 476.05318526 0 
7 614.006225739 614.006225739 429.804358017 1 
8 563.813643799 563.813643799 394.669550659 1 
9 679.524476901 679.524476901 475.667133831 1 
10 632.770493214 632.770493214 442.93934525 0 
11 571.440697082 618.346087832 432.842261484 1 
12 579.127415168 579.127415168 405.389190618 2 
13 692.014203305 692.014203305 484.409942314 1 
14 590.59386884 634.159598834 443.911719184 1 
15 497.996487655 497.996487655 348.597541359 1 
16 678.16882398 681.01282768 476.708979376 1 
17 693.270026998 630.953768199 499.526763535 2 
18 811.627736547 753.360787805 595.047332546 1 
19 536.768769522 564.193262727 394.935283909 0 
20 698.470540317 759.988748835 531.992124184 2 
21 467.721338459 467.721338459 327.404936921 0 
22 485.148104009 485.148104009 339.603672806 0 
23 487.160956394 513.564859176 359.495401423 0 
24 677.817444679 651.889054606 474.472211275 2 
25 701.805984663 749.51921344 548.388426473 2 
26 724.697678687 606.936541978 507.288375081 1 
27 679.313274286 680.03949768 476.027648376 0 
28 722.094699641 765.777028242 538.379279128 2 
29 600.127713599 600.127713598 420.089399519 0 
30 742.466891621 799.548152167 565.886181745 1 
31 563.087630666 563.087630666 394.161341466 0 
32 613.621790778 613.621790778 429.535253545 0 
33 720.919548092 746.455576003 522.518903202 2 
34 666.711561471 666.711561471 466.69809303 0 
35 819.654792068 752.098907757 579.019110116 1 
36 544.565112925 307.443626818 390.667607065 0 
37 681.470413757 715.138742397 500.597119678 0 
38 859.709239782 794.453057734 636.521080194 2 
39 667.43621583 677.502831692 474.251982185 2 
40 583.943195691 583.943195691 408.760236984 0 
41 728.481743223 745.922268992 522.145588309 1 
42 630.365891364 534.109005292 499.172386209 0 
43 862.828058592 765.258382582 656.552456942 1 
44 700.552765846 655.329138273 497.54979843 0 
45 887.399864334 829.539786484 646.08193943 2 
46 476.118245797 511.276400459 357.893480321 2 
47 586.804382353 586.804382353 410.763067647 0 
48 614.606224724 614.606224724 430.224357307 2 
49 611.517774964 611.517774964 428.062442475 0 
50 657.233190729 657.233190729 460.06323351 0 
51 509.428209138 509.428209138 356.599746397 0 
52 671.574704179 667.181832022 470.102292925 1 
53 676.427451383 703.76001297 492.632009079 1 
54 590.429363 590.429363 413.3005541 1 
55 643.303848914 667.891901751 467.524331225 0 
56 710.653665082 710.653665078 497.457565558 2 
57 1048.64626838 1013.23527992 716.972371111 1 
58 616.702970096 531.627589918 474.861294389 2 
59 674.605170124 674.605170124 472.223619087 2 
60 538.610422584 538.610422584 377.027295809 2 
61 579.185522516 552.657993342 405.429865761 1 
62 692.278671531 669.738524701 523.019445605 0 
63 657.493403618 751.986539133 526.390577393 0 
64 621.150323023 525.861302387 434.805226116 2 
65 770.530256047 838.987552392 551.644226636 2 
66 625.650324799 625.650324799 437.955227359 2 
67 676.998378859 676.998378859 473.898865202 1 
68 670.050007223 670.050007223 469.035005056 0 
69 485.869341471 485.869341471 340.10853903 0 
70 612.09272043 612.092720428 428.464904301 1 
71 681.881766651 681.881766651 477.317236656 1 
72 514.838323816 514.838323816 360.386826671 0 
