timeseries lftoe_perf hftoe_perf static_perf optimal_perf cluster_indices
1 811.495032012 818.019251449 610.682421838 973.695314209 1 
2 685.009841363 685.009841363 479.506888954 685.009841363 0 
3 613.066364784 590.628788951 483.038895326 690.055564752 2 
4 700.167946962 700.167946961 490.117562874 700.167946962 0 
5 457.542636863 504.936897834 353.455828484 504.936897834 0 
6 645.772647432 700.099868974 512.106458079 736.547328006 2 
7 764.255031539 637.458224698 544.900822132 778.429745902 1 
8 573.157407604 573.157407604 401.210185323 573.157407604 0 
9 601.671633235 601.671633235 421.170143264 601.671633235 2 
10 670.858678062 616.78333437 497.707851783 711.011216833 1 
11 691.457584527 618.353576978 510.8202176 729.743168 2 
12 894.898400316 499.167454191 643.76276225 919.661088929 1 
13 752.448312192 593.309297129 542.3984038 774.854862571 2 
14 772.836801839 623.638056707 579.781561354 852.494605858 1 
15 697.605323115 706.209277523 579.265172484 839.734604458 0 
16 789.672602558 789.672602558 552.770821791 789.672602558 2 
17 474.720099855 474.720099855 332.304069898 474.720099855 1 
18 661.3921336 662.637880392 450.990252616 663.256594478 0 
19 650.825177836 650.825177836 455.577624485 650.825177836 0 
20 473.80396804 495.415397735 346.790778414 495.415397735 0 
21 719.425985146 731.067803204 511.747462244 731.067803206 2 
22 671.067610307 668.219097778 500.945697723 749.80009701 1 
23 512.584112695 509.242600542 361.412825789 516.304036841 0 
24 760.494920365 760.494920365 532.346444255 760.494920365 0 
25 503.798681938 503.798681938 352.659077356 503.798681938 0 
26 672.581986838 672.581986834 470.807390787 672.581986838 1 
27 911.261602257 953.876313574 646.492417752 983.452470848 1 
28 852.988661269 849.918007743 619.020662554 913.019846736 1 
29 612.254691755 612.254691754 428.578284228 612.254691755 1 
30 459.910669543 459.910669543 321.93746868 459.910669543 0 
31 449.825178577 449.825178577 314.877625004 449.825178577 0 
32 606.614777001 642.753257984 441.65304432 642.753257986 2 
33 798.696967571 725.457469379 559.0878773 798.696967571 1 
34 636.326859444 636.326859444 445.428801611 636.326859444 1 
35 635.414327538 641.02086789 448.714607523 641.02086789 1 
36 710.528973789 596.638219173 497.370281652 710.528973789 2 
37 503.822254735 503.822254735 352.675578314 503.822254735 2 
38 754.228114772 761.375212286 588.448816906 842.302077071 1 
39 693.348142119 710.639339785 573.603170839 819.433101199 0 
40 524.862523322 524.862523322 367.403766326 524.862523322 1 
41 683.699030098 777.380327212 587.34404678 866.443459441 2 
42 766.913643173 766.913643161 536.839550221 766.913643173 0 
43 459.43791501 507.028497154 354.919948008 507.028497154 0 
44 780.511826265 610.329515934 578.940225495 837.313836323 1 
45 541.667606694 499.236529522 428.416851103 612.024073004 0 
46 963.176067727 927.594454595 641.574143 982.968697333 2 
47 748.101921928 641.554056373 529.900901083 775.548820163 1 
48 758.087667373 627.715863063 551.934669003 889.828986692 2 
49 757.065537248 757.065537248 529.945876074 757.065537248 2 
50 662.604465364 709.583313221 496.708319254 709.583313221 2 
51 878.076310449 658.613220546 623.608085525 951.906121741 1 
52 528.83521434 528.83521434 370.184650038 528.83521434 0 
53 638.156572523 638.156572518 446.709600766 638.156572523 2 
54 550.89885678 607.963361994 425.574353396 607.963361995 0 
55 707.899894043 606.033309946 495.52992583 707.899894043 2 
56 644.357218403 644.357218403 451.050052882 644.357218403 2 
57 764.568509746 863.941510891 597.201905952 937.954439587 2 
58 668.470028058 737.507987658 486.687489526 755.267409069 2 
59 691.617247145 200.922700701 484.132073001 691.617247145 1 
60 617.278862245 612.396781896 455.168597565 650.240853664 1 
61 579.098350657 579.098350657 405.36884546 579.098350657 1 
62 741.236201881 749.111225362 596.341554713 867.763064042 2 
63 500.46240728 500.46240728 350.323685096 500.46240728 0 
64 802.324159201 768.502958344 570.023639373 814.319484819 1 
65 525.295413649 507.537571282 367.706789554 525.295413649 0 
66 599.310162643 634.002936801 443.802055761 634.002936801 0 
67 786.918093958 748.118753925 583.692038264 846.930475773 1 
68 713.87924206 573.090519919 499.715469442 713.87924206 2 
69 722.659618737 722.659618737 505.861733116 722.659618737 2 
70 494.986334948 494.986334948 346.490434464 494.986334948 0 
71 618.799349758 560.919687284 433.15954483 618.799349758 0 
72 735.958582465 735.958582464 515.171007725 735.958582465 0 
73 673.326467848 673.326467848 471.328527493 673.326467848 0 
74 597.599024105 597.599024105 418.319316874 597.599024105 2 
75 606.768545703 569.023494213 394.781719275 606.768545703 2 
76 734.689198629 734.689198629 514.28243904 734.689198629 0 
77 513.031170559 513.031170559 359.121819392 513.031170559 2 
78 731.911935091 601.773776116 520.029702586 742.899575122 1 
79 869.062635996 838.976523498 633.727111293 993.946203632 2 
80 541.575955649 527.210306561 379.103168954 541.575955649 0 
81 898.435908367 890.975717497 628.905135857 898.435908367 1 
82 724.435564781 718.939119399 507.104895347 724.435564781 2 
83 470.304818474 470.304818474 329.213372932 470.304818474 2 
84 705.122824238 773.888174527 541.721722178 773.88817454 0 
85 735.390978665 735.390978665 514.773685065 735.390978665 1 
86 758.850739676 758.850739676 531.195517773 758.850739676 1 
87 637.675746395 637.675746395 446.373022476 637.675746395 2 
88 647.09959554 389.178574258 466.096566976 665.852238537 1 
89 835.698849419 781.586174514 604.834231068 871.248998009 1 
