timeseries lftoe_perf hftoe_perf static_perf optimal_perf cluster_indices
1 747.145211065 671.777679318 506.501904739 779.574702953 1 
2 692.312508369 703.834161501 504.046288574 816.239707395 2 
3 526.630801208 526.630801207 368.641560845 526.630801208 0 
4 688.055755959 688.055755952 481.639029171 688.055755959 2 
5 569.236170299 569.236170299 398.465319209 569.236170299 2 
6 799.723878643 790.611423739 606.939846676 894.824864045 1 
7 717.298165906 717.298165906 502.108716134 717.298165906 1 
8 621.517313234 657.524344069 460.267040848 657.524344069 2 
9 591.801005129 541.132777552 414.26070359 591.801005129 1 
10 657.454459051 637.320729487 478.247973773 683.211391104 2 
11 822.610507568 811.148297303 575.827355297 822.610507568 0 
12 541.033858624 545.941416133 382.158991293 545.941416133 0 
13 755.07948346 755.07948346 528.555638422 755.07948346 1 
14 522.649734618 522.649734616 365.854814233 522.649734618 2 
15 899.468106229 924.521246025 650.808395923 1038.72507662 2 
16 696.132053872 696.132053872 487.29243771 696.132053872 0 
17 442.212820507 442.212820507 309.548974355 442.212820507 0 
18 711.400092908 711.400092897 497.980065035 711.400092908 2 
19 499.203427916 499.203427916 349.442399541 499.203427916 0 
20 613.822042098 693.969473373 485.778631361 693.969473373 0 
21 642.628258608 642.628258606 449.839781026 642.628258608 0 
22 714.651135788 746.826317666 530.088431437 769.650784957 1 
23 720.045834252 555.044898905 522.934602676 747.049432394 1 
24 565.820704298 478.107625152 396.074493009 565.820704298 2 
25 611.94460426 600.652873357 450.080743933 642.972491333 1 
26 707.21195139 625.972730248 543.907254084 826.56611127 2 
27 660.754677614 660.754677614 462.52827433 660.754677614 1 
28 518.872338024 518.872338019 363.210636617 518.872338024 0 
29 710.563367969 710.563367969 497.394357579 710.563367969 1 
30 560.348632741 560.348632741 392.244042919 560.348632741 0 
31 848.649372717 818.901352669 594.054560902 848.649372717 2 
32 731.043315622 731.043315622 511.730320936 731.043315622 2 
33 666.131825714 628.453483027 466.292278 666.131825714 1 
34 582.340645294 582.340645294 407.638451706 582.340645294 1 
35 675.09753945 675.09753945 472.568277615 675.09753945 1 
36 628.783444366 628.783444365 440.148411056 628.783444366 0 
37 549.322088795 591.063741648 413.744619153 591.063741648 2 
38 766.282254284 791.453201187 584.02832938 834.326184828 2 
39 809.513382019 809.513382019 566.659367414 809.513382019 1 
40 556.405801198 556.405801198 389.484060838 556.405801198 0 
